id_realizacao;tipo_dia;barra;tipo_carga;potencia_kw;capacidade_kwh;razao_armazenamento_h
13;nublado;18;comercial;230,6;226,89;0,984
13;nublado;33;industrial;227,38;206,54;0,908
13;nublado;34;industrial;64,31;331,94;5,162
13;nublado;23;industrial;183,23;218,16;1,191
14;ceu_aberto;32;industrial;106,1;424,1;3,997
14;ceu_aberto;9;residencial;91,35;204,57;2,239
14;ceu_aberto;26;industrial;132,51;432,18;3,261
14;ceu_aberto;5;residencial;51,62;457,68;8,866
15;parcialmente_nublado;6;residencial;157,1;402,72;2,563
15;parcialmente_nublado;19;comercial;113,77;343,38;3,018
15;parcialmente_nublado;30;industrial;229,34;461,38;2,012
15;parcialmente_nublado;34;industrial;180,63;109,33;0,605
16;ceu_aberto;4;residencial;127,02;274,58;2,162
16;ceu_aberto;29;industrial;129,99;458,74;3,529
16;ceu_aberto;11;residencial;80,54;252,65;3,137
16;ceu_aberto;2;residencial;111,65;335,68;3,007
17;ceu_aberto;3;residencial;135,0;470,97;3,489
17;ceu_aberto;31;industrial;87,0;433,5;4,983
17;ceu_aberto;26;industrial;57,21;202,06;3,532
17;ceu_aberto;28;industrial;94,39;105,88;1,122
18;nublado;3;residencial;143,98;462,7;3,214
18;nublado;21;comercial;75,65;121,27;1,603
18;nublado;30;industrial;208,22;290,32;1,394
18;nublado;20;comercial;249,96;149,29;0,597
19;parcialmente_nublado;4;residencial;89,85;271,74;3,024
19;parcialmente_nublado;28;industrial;177,4;394,35;2,223
19;parcialmente_nublado;9;residencial;181,38;383,85;2,116
19;parcialmente_nublado;8;residencial;173,15;177,66;1,026
20;nublado;24;industrial;229,97;408,05;1,774
20;nublado;5;residencial;61,81;312,26;5,052
20;nublado;32;industrial;145,25;284,79;1,961
20;nublado;27;industrial;181,01;400,78;2,214
21;ceu_aberto;12;comercial;184,81;158,84;0,859
21;ceu_aberto;23;industrial;132,7;173,02;1,304
21;ceu_aberto;16;comercial;68,85;181,23;2,632
21;ceu_aberto;1;residencial;196,21;345,34;1,76
22;ceu_aberto;33;industrial;119,24;451,44;3,786
22;ceu_aberto;18;comercial;94,11;312,0;3,315
22;ceu_aberto;1;residencial;223,59;124,8;0,558
22;ceu_aberto;12;comercial;200,77;153,06;0,762
23;nublado;5;residencial;158,52;105,48;0,665
23;nublado;13;comercial;110,41;101,46;0,919
23;nublado;19;comercial;142,26;301,0;2,116
23;nublado;12;comercial;146,05;347,21;2,377
24;ceu_aberto;17;comercial;205,16;464,26;2,263
24;ceu_aberto;9;residencial;238,45;165,0;0,692
24;ceu_aberto;31;industrial;138,37;370,3;2,676
24;ceu_aberto;33;industrial;200,53;301,92;1,506
25;parcialmente_nublado;10;residencial;151,46;243,3;1,606
25;parcialmente_nublado;19;comercial;241,11;375,64;1,558
25;parcialmente_nublado;34;industrial;202,88;423,3;2,086
25;parcialmente_nublado;17;comercial;222,1;300,58;1,353
26;parcialmente_nublado;32;industrial;71,74;395,25;5,509
26;parcialmente_nublado;24;industrial;117,74;272,11;2,311
26;parcialmente_nublado;16;comercial;164,62;488,28;2,966
26;parcialmente_nublado;10;residencial;172,21;217,53;1,263
27;parcialmente_nublado;6;residencial;247,46;408,01;1,649
27;parcialmente_nublado;11;residencial;222,67;428,34;1,924
27;parcialmente_nublado;32;industrial;107,21;169,24;1,579
27;parcialmente_nublado;2;residencial;238,12;124,68;0,524
28;parcialmente_nublado;26;industrial;132,62;461,31;3,478
28;parcialmente_nublado;33;industrial;97,35;212,46;2,182
28;parcialmente_nublado;16;comercial;186,19;106,59;0,572
28;parcialmente_nublado;10;residencial;105,93;215,39;2,033
29;parcialmente_nublado;21;comercial;117,71;237,73;2,02
29;parcialmente_nublado;3;residencial;213,66;319,08;1,493
29;parcialmente_nublado;34;industrial;61,42;118,15;1,924
29;parcialmente_nublado;16;comercial;119,18;365,27;3,065
30;ceu_aberto;10;residencial;150,93;411,51;2,726
30;ceu_aberto;5;residencial;139,26;281,68;2,023
30;ceu_aberto;2;residencial;202,87;382,41;1,885
30;ceu_aberto;32;industrial;77,67;468,2;6,028
31;ceu_aberto;30;industrial;193,48;491,91;2,542
31;ceu_aberto;12;comercial;71,08;100,83;1,419
31;ceu_aberto;32;industrial;62,66;250,85;4,003
31;ceu_aberto;25;industrial;210,33;198,15;0,942
32;ceu_aberto;23;industrial;241,35;330,91;1,371
32;ceu_aberto;22;comercial;222,73;309,25;1,388
32;ceu_aberto;10;residencial;198,61;232,26;1,169
32;ceu_aberto;29;industrial;159,86;336,87;2,107
33;nublado;6;residencial;127,91;486,82;3,806
33;nublado;23;industrial;131,2;145,91;1,112
33;nublado;9;residencial;59,64;267,62;4,487
33;nublado;11;residencial;79,1;384,04;4,855
34;nublado;34;industrial;158,75;471,9;2,973
34;nublado;2;residencial;173,93;261,35;1,503
34;nublado;5;residencial;183,43;379,59;2,069
34;nublado;3;residencial;208,73;240,55;1,152
35;ceu_aberto;19;comercial;220,97;459,15;2,078
35;ceu_aberto;18;comercial;233,67;370,29;1,585
35;ceu_aberto;24;industrial;157,08;101,15;0,644
35;ceu_aberto;3;residencial;74,85;294,59;3,936
36;nublado;20;comercial;219,66;172,23;0,784
36;nublado;13;comercial;73,18;490,79;6,707
36;nublado;34;industrial;160,01;447,48;2,797
36;nublado;27;industrial;99,33;477,88;4,811
37;ceu_aberto;2;residencial;91,63;193,9;2,116
37;ceu_aberto;26;industrial;126,73;320,24;2,527
37;ceu_aberto;30;industrial;204,95;347,75;1,697
37;ceu_aberto;11;residencial;62,18;139,81;2,248
38;parcialmente_nublado;19;comercial;205,19;266,95;1,301
38;parcialmente_nublado;7;residencial;78,58;163,6;2,082
38;parcialmente_nublado;24;industrial;246,71;181,0;0,734
38;parcialmente_nublado;28;industrial;230,34;416,99;1,81
39;parcialmente_nublado;21;comercial;228,68;255,9;1,119
39;parcialmente_nublado;24;industrial;125,68;431,85;3,436
39;parcialmente_nublado;28;industrial;121,49;228,98;1,885
39;parcialmente_nublado;4;residencial;98,44;375,2;3,811
40;nublado;14;comercial;123,86;459,47;3,71
40;nublado;27;industrial;138,42;133,06;0,961
40;nublado;23;industrial;78,68;341,85;4,345
40;nublado;28;industrial;132,95;107,69;0,81
41;nublado;22;comercial;220,48;109,39;0,496
41;nublado;19;comercial;79,48;105,23;1,324
41;nublado;32;industrial;210,8;159,87;0,758
41;nublado;11;residencial;72,93;154,66;2,121
42;parcialmente_nublado;30;industrial;138,27;259,41;1,876
42;parcialmente_nublado;33;industrial;85,65;478,62;5,588
42;parcialmente_nublado;32;industrial;180,87;474,18;2,622
42;parcialmente_nublado;23;industrial;135,77;474,91;3,498
43;parcialmente_nublado;32;industrial;195,22;492,73;2,524
43;parcialmente_nublado;23;industrial;160,12;288,94;1,805
43;parcialmente_nublado;22;comercial;144,64;388,56;2,686
43;parcialmente_nublado;30;industrial;231,63;410,25;1,771
44;ceu_aberto;21;comercial;112,21;161,3;1,437
44;ceu_aberto;4;residencial;235,18;120,34;0,512
44;ceu_aberto;34;industrial;180,09;231,15;1,284
44;ceu_aberto;29;industrial;181,64;279,35;1,538
45;nublado;16;comercial;247,13;336,38;1,361
45;nublado;9;residencial;213,57;348,57;1,632
45;nublado;34;industrial;114,62;232,6;2,029
45;nublado;18;comercial;191,54;372,14;1,943
46;ceu_aberto;20;comercial;111,62;380,04;3,405
46;ceu_aberto;19;comercial;163,99;149,04;0,909
46;ceu_aberto;28;industrial;240,37;385,35;1,603
46;ceu_aberto;34;industrial;232,2;219,84;0,947
47;nublado;8;residencial;164,63;442,92;2,69
47;nublado;13;comercial;82,7;435,84;5,27
47;nublado;21;comercial;238,65;288,23;1,208
47;nublado;34;industrial;142,48;391,77;2,75
48;nublado;25;industrial;80,14;400,55;4,998
48;nublado;21;comercial;203,73;299,73;1,471
48;nublado;22;comercial;223,36;496,78;2,224
48;nublado;29;industrial;137,58;377,91;2,747
49;nublado;9;residencial;176,13;310,89;1,765
49;nublado;10;residencial;219,91;143,51;0,653
49;nublado;17;comercial;161,96;450,04;2,779
49;nublado;1;residencial;208,64;244,94;1,174
50;ceu_aberto;14;comercial;71,9;304,95;4,241
50;ceu_aberto;27;industrial;159,37;386,05;2,422
50;ceu_aberto;34;industrial;232,79;466,86;2,005
50;ceu_aberto;12;comercial;177,66;402,18;2,264
