id_realizacao;tipo_dia;unidade_bess;barra;potencia_kw;capacidade_kwh;razao_armazenamento_h
10;parcialmente_nublado;7;5;62,91;334,94;5,324
10;parcialmente_nublado;8;3;110,81;166,93;1,506
11;nublado;1;28;97,51;322,57;3,308
11;nublado;2;15;65,77;192,58;2,928
11;nublado;3;17;230,34;467,06;2,028
11;nublado;4;21;172,16;353,4;2,053
11;nublado;5;29;119,84;247,22;2,063
11;nublado;6;26;150,45;268,25;1,783
11;nublado;7;6;120,38;161,8;1,344
11;nublado;8;28;191,54;460,43;2,404
12;parcialmente_nublado;1;32;72,18;246,93;3,421
12;parcialmente_nublado;2;10;65,48;238,37;3,64
12;parcialmente_nublado;3;25;79,95;445,27;5,569
12;parcialmente_nublado;4;6;177,7;357,78;2,013
12;parcialmente_nublado;5;28;247,93;411,63;1,66
12;parcialmente_nublado;6;7;220,03;161,98;0,736
12;parcialmente_nublado;7;33;188,73;228,67;1,212
12;parcialmente_nublado;8;22;124,26;333,12;2,681
13;nublado;1;25;217,86;294,77;1,353
13;nublado;2;15;164,29;201,97;1,229
13;nublado;3;20;244,98;283,95;1,159
13;nublado;4;10;199,74;129,61;0,649
13;nublado;5;24;108,37;366,63;3,383
13;nublado;6;19;119,02;139,31;1,17
13;nublado;7;1;157,56;466,51;2,961
13;nublado;8;19;199,51;335,37;1,681
14;parcialmente_nublado;1;12;185,45;475,34;2,563
14;parcialmente_nublado;2;23;157,24;222,94;1,418
14;parcialmente_nublado;3;21;218,29;217,48;0,996
14;parcialmente_nublado;4;4;236,31;458,45;1,94
14;parcialmente_nublado;5;31;170,13;375,57;2,208
14;parcialmente_nublado;6;25;166,61;375,79;2,256
14;parcialmente_nublado;7;33;248,0;447,6;1,805
14;parcialmente_nublado;8;18;93,11;199,78;2,146
15;parcialmente_nublado;1;23;117,45;255,01;2,171
15;parcialmente_nublado;2;11;226,78;300,72;1,326
15;parcialmente_nublado;3;21;218,7;260,71;1,192
15;parcialmente_nublado;4;31;95,07;385,48;4,055
15;parcialmente_nublado;5;28;167,48;219,05;1,308
15;parcialmente_nublado;6;31;233,66;356,5;1,526
15;parcialmente_nublado;7;15;221,5;486,52;2,196
15;parcialmente_nublado;8;7;169,06;148,0;0,875
16;ceu_aberto;1;4;60,29;228,1;3,783
16;ceu_aberto;2;16;229,67;210,54;0,917
16;ceu_aberto;3;23;239,54;264,78;1,105
16;ceu_aberto;4;28;208,09;158,72;0,763
16;ceu_aberto;5;33;55,1;166,07;3,014
16;ceu_aberto;6;34;187,32;320,72;1,712
16;ceu_aberto;7;6;192,87;492,12;2,552
16;ceu_aberto;8;21;136,63;150,66;1,103
17;ceu_aberto;1;2;76,38;209,0;2,736
17;ceu_aberto;2;8;73,69;476,81;6,47
17;ceu_aberto;3;24;92,49;114,11;1,234
17;ceu_aberto;4;5;201,6;151,85;0,753
17;ceu_aberto;5;23;131,73;215,89;1,639
17;ceu_aberto;6;1;110,07;298,56;2,712
17;ceu_aberto;7;31;142,94;151,1;1,057
17;ceu_aberto;8;11;59,06;369,08;6,249
18;parcialmente_nublado;1;24;117,37;109,54;0,933
18;parcialmente_nublado;2;17;242,62;336,41;1,387
18;parcialmente_nublado;3;29;192,67;243,59;1,264
18;parcialmente_nublado;4;28;95,24;175,18;1,839
18;parcialmente_nublado;5;22;144,54;404,51;2,799
18;parcialmente_nublado;6;3;87,21;214,18;2,456
18;parcialmente_nublado;7;2;151,91;440,95;2,903
18;parcialmente_nublado;8;10;150,22;120,19;0,8
19;nublado;1;17;152,43;487,86;3,201
19;nublado;2;20;235,29;179,72;0,764
19;nublado;3;24;177,73;390,07;2,195
19;nublado;4;5;109,07;425,39;3,9
19;nublado;5;34;182,11;220,08;1,209
19;nublado;6;24;163,58;480,27;2,936
19;nublado;7;6;222,91;179,62;0,806
19;nublado;8;3;61,79;230,69;3,733
20;ceu_aberto;1;8;162,35;116,69;0,719
20;ceu_aberto;2;25;170,58;191,58;1,123
20;ceu_aberto;3;13;148,88;269,56;1,811
20;ceu_aberto;4;5;123,61;216,66;1,753
20;ceu_aberto;5;2;128,3;327,61;2,553
20;ceu_aberto;6;4;80,55;482,87;5,995
20;ceu_aberto;7;24;121,73;372,0;3,056
20;ceu_aberto;8;18;183,38;277,92;1,516
21;ceu_aberto;1;27;146,59;207,43;1,415
21;ceu_aberto;2;23;130,02;178,04;1,369
21;ceu_aberto;3;8;72,7;367,42;5,054
21;ceu_aberto;4;25;209,09;399,52;1,911
21;ceu_aberto;5;22;200,91;352,57;1,755
21;ceu_aberto;6;5;169,01;219,39;1,298
21;ceu_aberto;7;14;141,55;419,65;2,965
21;ceu_aberto;8;1;88,92;275,77;3,101
22;ceu_aberto;1;4;238,55;261,87;1,098
22;ceu_aberto;2;10;58,04;495,81;8,543
22;ceu_aberto;3;34;142,27;236,03;1,659
22;ceu_aberto;4;2;205,21;157,72;0,769
22;ceu_aberto;5;4;83,76;372,05;4,442
22;ceu_aberto;6;18;207,05;411,56;1,988
22;ceu_aberto;7;19;56,93;316,16;5,553
22;ceu_aberto;8;13;66,49;255,72;3,846
23;parcialmente_nublado;1;27;72,08;262,97;3,648
23;parcialmente_nublado;2;30;169,41;451,4;2,665
23;parcialmente_nublado;3;6;126,88;291,04;2,294
23;parcialmente_nublado;4;33;133,74;402,88;3,012
23;parcialmente_nublado;5;17;60,6;258,46;4,265
23;parcialmente_nublado;6;23;242,38;452,08;1,865
23;parcialmente_nublado;7;6;188,75;486,32;2,577
23;parcialmente_nublado;8;19;244,68;467,49;1,911
24;parcialmente_nublado;1;11;219,08;395,78;1,807
24;parcialmente_nublado;2;16;112,2;183,14;1,632
24;parcialmente_nublado;3;31;247,76;460,31;1,858
24;parcialmente_nublado;4;14;234,54;218,19;0,93
24;parcialmente_nublado;5;33;75,71;257,02;3,395
24;parcialmente_nublado;6;16;183,07;169,4;0,925
24;parcialmente_nublado;7;34;192,87;395,68;2,052
24;parcialmente_nublado;8;11;227,15;385,14;1,696
25;nublado;1;5;153,62;180,45;1,175
25;nublado;2;15;169,65;185,14;1,091
25;nublado;3;7;132,23;288,16;2,179
25;nublado;4;33;58,78;436,04;7,418
25;nublado;5;2;200,12;489,5;2,446
25;nublado;6;34;169,09;476,78;2,82
25;nublado;7;32;228,34;335,37;1,469
25;nublado;8;3;67,9;444,89;6,552
26;ceu_aberto;1;34;50,87;413,54;8,129
26;ceu_aberto;2;13;229,07;461,3;2,014
26;ceu_aberto;3;3;86,82;405,83;4,674
26;ceu_aberto;4;26;86,99;342,68;3,939
26;ceu_aberto;5;12;243,88;261,27;1,071
26;ceu_aberto;6;1;64,42;144,43;2,242
26;ceu_aberto;7;28;184,69;107,43;0,582
26;ceu_aberto;8;19;97,56;347,24;3,559
27;nublado;1;29;72,35;336,81;4,655
27;nublado;2;32;93,65;430,67;4,599
27;nublado;3;25;206,17;178,14;0,864
27;nublado;4;31;73,2;243,6;3,328
27;nublado;5;16;170,36;154,03;0,904
27;nublado;6;27;170,27;332,81;1,955
27;nublado;7;14;191,5;213,55;1,115
27;nublado;8;12;171,73;389,97;2,271
28;parcialmente_nublado;1;11;76,07;162,6;2,138
28;parcialmente_nublado;2;1;62,31;385,99;6,195
28;parcialmente_nublado;3;15;62,22;234,27;3,765
28;parcialmente_nublado;4;17;148,79;120,64;0,811
28;parcialmente_nublado;5;12;170,41;175,17;1,028
28;parcialmente_nublado;6;9;57,36;438,69;7,648
28;parcialmente_nublado;7;34;189,04;133,13;0,704
28;parcialmente_nublado;8;31;222,59;234,51;1,054
29;parcialmente_nublado;1;14;192,85;146,93;0,762
29;parcialmente_nublado;2;33;247,08;313,98;1,271
29;parcialmente_nublado;3;3;173,58;447,48;2,578
29;parcialmente_nublado;4;29;155,58;194,49;1,25
29;parcialmente_nublado;5;17;95,3;323,44;3,394
29;parcialmente_nublado;6;10;155,77;141,98;0,911
29;parcialmente_nublado;7;5;52,45;280,23;5,343
29;parcialmente_nublado;8;34;231,17;186,76;0,808
30;nublado;1;3;228,48;160,46;0,702
30;nublado;2;30;130,38;213,75;1,639
30;nublado;3;21;67,76;128,91;1,902
30;nublado;4;13;204,76;145,73;0,712
30;nublado;5;16;53,62;490,86;9,154
30;nublado;6;17;212,49;121,92;0,574
30;nublado;7;29;72,26;275,57;3,814
30;nublado;8;33;63,43;462,43;7,29
31;nublado;1;6;247,85;349,38;1,41
31;nublado;2;10;116,13;188,28;1,621
31;nublado;3;1;75,24;312,59;4,155
31;nublado;4;17;239,47;399,67;1,669
31;nublado;5;19;85,7;147,5;1,721
31;nublado;6;5;159,89;372,92;2,332
31;nublado;7;22;105,13;428,07;4,072
31;nublado;8;12;136,13;400,51;2,942
32;nublado;1;24;130,97;341,42;2,607
32;nublado;2;15;111,48;371,64;3,334
32;nublado;3;32;78,78;333,66;4,235
32;nublado;4;4;240,01;398,13;1,659
32;nublado;5;11;187,04;226,15;1,209
32;nublado;6;11;191,62;371,17;1,937
32;nublado;7;12;219,74;130,7;0,595
32;nublado;8;16;237,51;341,25;1,437
33;parcialmente_nublado;1;20;222,22;312,16;1,405
33;parcialmente_nublado;2;11;157,18;461,49;2,936
33;parcialmente_nublado;3;26;174,96;166,96;0,954
33;parcialmente_nublado;4;16;69,89;447,17;6,398
33;parcialmente_nublado;5;18;198,6;301,52;1,518
33;parcialmente_nublado;6;34;94,95;232,42;2,448
33;parcialmente_nublado;7;10;219,7;268,35;1,221
33;parcialmente_nublado;8;23;208,68;313,7;1,503
34;ceu_aberto;1;13;236,49;238,52;1,009
34;ceu_aberto;2;28;158,49;200,66;1,266
34;ceu_aberto;3;10;205,83;234,29;1,138
34;ceu_aberto;4;21;67,73;310,47;4,584
34;ceu_aberto;5;15;231,08;149,42;0,647
34;ceu_aberto;6;13;204,78;204,33;0,998
34;ceu_aberto;7;17;232,39;105,82;0,455
34;ceu_aberto;8;24;238,98;280,03;1,172
35;parcialmente_nublado;1;23;204,8;484,95;2,368
35;parcialmente_nublado;2;21;161,09;442,82;2,749
35;parcialmente_nublado;3;1;112,33;345,1;3,072
35;parcialmente_nublado;4;10;158,46;155,09;0,979
35;parcialmente_nublado;5;24;174,96;116,18;0,664
35;parcialmente_nublado;6;1;73,13;388,43;5,312
35;parcialmente_nublado;7;5;135,1;455,29;3,37
35;parcialmente_nublado;8;18;247,79;350,97;1,416
36;parcialmente_nublado;1;7;221,33;278,33;1,258
36;parcialmente_nublado;2;26;88,83;229,92;2,588
36;parcialmente_nublado;3;4;159,27;192,56;1,209
36;parcialmente_nublado;4;29;231,48;433,06;1,871
36;parcialmente_nublado;5;28;239,16;289,08;1,209
36;parcialmente_nublado;6;31;181,69;221,96;1,222
36;parcialmente_nublado;7;11;80,37;382,87;4,764
36;parcialmente_nublado;8;22;164,8;180,51;1,095
37;ceu_aberto;1;10;220,08;197,78;0,899
37;ceu_aberto;2;2;239,8;407,39;1,699
37;ceu_aberto;3;27;216,28;392,16;1,813
37;ceu_aberto;4;26;196,33;170,79;0,87
37;ceu_aberto;5;24;223,16;332,74;1,491
37;ceu_aberto;6;21;176,8;106,96;0,605
37;ceu_aberto;7;32;111,34;259,55;2,331
37;ceu_aberto;8;3;102,89;369,02;3,587
38;nublado;1;24;183,0;106,52;0,582
38;nublado;2;24;188,71;282,93;1,499
38;nublado;3;21;223,06;208,56;0,935
38;nublado;4;30;50,07;221,85;4,431
38;nublado;5;30;233,51;403,4;1,728
38;nublado;6;22;120,88;350,79;2,902
38;nublado;7;8;65,86;241,9;3,673
38;nublado;8;1;61,46;294,92;4,799
39;nublado;1;27;187,2;182,47;0,975
39;nublado;2;7;66,27;473,51;7,145
39;nublado;3;5;113,09;491,83;4,349
39;nublado;4;8;149,59;118,0;0,789
39;nublado;5;16;51,84;318,35;6,141
39;nublado;6;15;83,4;438,43;5,257
39;nublado;7;7;142,74;420,16;2,944
39;nublado;8;31;248,32;274,45;1,105
40;nublado;1;28;185,08;187,74;1,014
40;nublado;2;32;71,35;115,48;1,619
40;nublado;3;5;163,36;401,57;2,458
40;nublado;4;12;226,3;349,51;1,544
40;nublado;5;4;130,34;331,43;2,543
40;nublado;6;31;121,53;312,22;2,569
40;nublado;7;30;177,7;350,71;1,974
40;nublado;8;10;104,08;392,45;3,771
41;parcialmente_nublado;1;20;61,76;494,31;8,004
41;parcialmente_nublado;2;6;82,82;223,55;2,699
41;parcialmente_nublado;3;25;238,81;346,97;1,453
41;parcialmente_nublado;4;33;183,96;239,69;1,303
41;parcialmente_nublado;5;1;61,42;432,58;7,043
41;parcialmente_nublado;6;13;237,29;435,03;1,833
41;parcialmente_nublado;7;6;223,94;223,5;0,998
41;parcialmente_nublado;8;29;105,11;329,19;3,132
42;parcialmente_nublado;1;19;231,42;417,75;1,805
42;parcialmente_nublado;2;3;236,86;100,51;0,424
42;parcialmente_nublado;3;33;50,97;372,93;7,317
42;parcialmente_nublado;4;30;179,44;298,04;1,661
42;parcialmente_nublado;5;13;186,0;204,59;1,1
42;parcialmente_nublado;6;11;138,2;316,74;2,292
42;parcialmente_nublado;7;19;98,69;327,48;3,318
42;parcialmente_nublado;8;33;80,56;428,35;5,317
43;parcialmente_nublado;1;1;81,29;271,35;3,338
43;parcialmente_nublado;2;6;236,34;188,31;0,797
43;parcialmente_nublado;3;9;136,88;342,72;2,504
43;parcialmente_nublado;4;3;202,58;224,75;1,109
43;parcialmente_nublado;5;32;50,89;402,43;7,908
43;parcialmente_nublado;6;3;136,08;181,03;1,33
43;parcialmente_nublado;7;18;56,68;185,3;3,269
43;parcialmente_nublado;8;10;71,33;377,72;5,295
44;parcialmente_nublado;1;25;183,31;249,24;1,36
44;parcialmente_nublado;2;30;203,73;317,19;1,557
44;parcialmente_nublado;3;30;143,89;436,62;3,034
44;parcialmente_nublado;4;18;75,28;166,83;2,216
44;parcialmente_nublado;5;12;186,82;243,7;1,304
44;parcialmente_nublado;6;30;243,75;116,68;0,479
44;parcialmente_nublado;7;20;196,43;100,12;0,51
44;parcialmente_nublado;8;31;142,44;341,87;2,4
45;parcialmente_nublado;1;6;88,39;496,65;5,619
45;parcialmente_nublado;2;11;166,73;282,02;1,691
45;parcialmente_nublado;3;18;71,0;355,14;5,002
45;parcialmente_nublado;4;17;130,61;407,45;3,12
45;parcialmente_nublado;5;20;70,64;149,58;2,117
45;parcialmente_nublado;6;7;170,09;234,56;1,379
45;parcialmente_nublado;7;34;156,12;306,13;1,961
45;parcialmente_nublado;8;22;55,78;417,11;7,478
46;nublado;1;6;229,63;303,67;1,322
46;nublado;2;20;157,93;412,6;2,613
46;nublado;3;20;231,58;135,81;0,586
46;nublado;4;24;196,41;317,51;1,617
46;nublado;5;6;182,73;371,08;2,031
46;nublado;6;13;223,53;496,68;2,222
46;nublado;7;28;216,57;279,0;1,288
46;nublado;8;33;101,73;143,74;1,413
47;ceu_aberto;1;16;166,47;473,49;2,844
47;ceu_aberto;2;20;163,41;210,97;1,291
47;ceu_aberto;3;11;178,53;461,7;2,586
47;ceu_aberto;4;17;113,44;480,18;4,233
47;ceu_aberto;5;33;112,87;431,23;3,821
47;ceu_aberto;6;5;75,76;140,22;1,851
47;ceu_aberto;7;34;144,28;267,98;1,857
47;ceu_aberto;8;28;94,67;217,91;2,302
48;nublado;1;30;130,67;300,33;2,298
48;nublado;2;27;204,95;438,96;2,142
48;nublado;3;16;225,94;292,81;1,296
48;nublado;4;31;167,73;303,8;1,811
48;nublado;5;21;149,84;297,14;1,983
48;nublado;6;24;130,43;309,42;2,372
48;nublado;7;9;83,02;387,53;4,668
48;nublado;8;7;177,75;264,29;1,487
49;nublado;1;24;125,66;284,49;2,264
49;nublado;2;16;97,27;425,31;4,372
49;nublado;3;25;246,56;109,65;0,445
49;nublado;4;32;108,58;107,14;0,987
49;nublado;5;14;73,69;175,89;2,387
49;nublado;6;6;183,05;209,92;1,147
49;nublado;7;16;190,01;116,91;0,615
49;nublado;8;5;205,45;450,81;2,194
50;parcialmente_nublado;1;5;201,4;459,72;2,283
50;parcialmente_nublado;2;25;113,35;320,67;2,829
50;parcialmente_nublado;3;10;92,15;240,2;2,607
50;parcialmente_nublado;4;34;221,52;261,72;1,181
50;parcialmente_nublado;5;5;234,12;363,4;1,552
50;parcialmente_nublado;6;14;213,82;250,38;1,171
50;parcialmente_nublado;7;10;56,0;452,68;8,084
50;parcialmente_nublado;8;11;120,22;298,03;2,479
