id;tipo_dia;penetracao_pct;potencia_pv_total_mw;potencias_pv_kw;razoes_bess_h;capacidades_bess_kwh;fator_carga_barras
11;nublado;37,66;1,3991;[20.79, 275.91, 257.0, 77.18, 728.64, 39.6];[2.297, 3.831, 2.259, 2.916, 2.193, 1.823];[47.75, 1056.98, 580.62, 225.04, 1597.74, 72.18];[0.9977, 1.0122, 0.9879, 1.0176, 0.9374, 1.0722, 0.9959, 1.0559, 1.0171, 1.0228, 1.0285, 1.0224, 1.0321, 1.0665, 1.0098, 1.0355, 0.9955, 1.072, 0.9662, 1.09, 0.998, 0.9285, 1.0064, 0.9659, 1.042, 0.9674, 0.9777, 0.9055, 0.9774, 0.8788, 0.9208, 1.038]
12;parcialmente_nublado;22,45;0,8341;[40.37, 84.14, 274.62, 175.97, 183.92, 75.09];[2.038, 2.113, 3.963, 1.12, 3.601, 2.736];[82.26, 177.8, 1088.29, 197.15, 662.3, 205.44];[1.0842, 0.9771, 1.0539, 0.9981, 0.9914, 1.0442, 1.0326, 0.9212, 1.0738, 1.069, 0.9687, 1.0198, 1.0247, 1.013, 0.9725, 0.9664, 0.9987, 1.0586, 1.0272, 0.9815, 1.0386, 0.8576, 1.0574, 0.913, 0.9819, 0.944, 0.9353, 1.058, 0.9766, 1.0173, 0.9977, 1.0239]
13;ceu_aberto;94,48;3,5098;[793.94, 766.07, 164.9, 730.05, 339.83, 714.99];[1.32, 2.974, 3.998, 1.145, 3.932, 2.221];[1047.82, 2277.93, 659.3, 835.64, 1336.06, 1587.8];[1.0161, 1.0211, 1.0807, 1.0227, 0.9878, 1.0482, 1.0595, 0.9386, 1.0299, 1.0351, 0.9851, 1.0688, 0.9925, 1.0063, 0.9913, 1.0008, 0.9452, 0.928, 1.0797, 0.9577, 0.9504, 0.8923, 0.9681, 0.9338, 1.0821, 1.0505, 0.9656, 1.1126, 1.0491, 0.9838, 0.875, 1.1145]
14;ceu_aberto;38,95;1,447;[412.47, 87.39, 470.37, 149.91, 299.52, 27.31];[2.872, 2.355, 2.76, 1.504, 3.211, 3.588];[1184.43, 205.83, 1298.15, 225.48, 961.66, 98.0];[0.9907, 0.9935, 1.0022, 0.9926, 1.0482, 1.1105, 0.9721, 0.9315, 0.9956, 1.129, 0.9598, 1.082, 1.0839, 0.9723, 1.0284, 1.0814, 0.981, 0.9898, 0.9709, 0.9493, 0.9675, 0.9388, 1.0017, 0.9615, 1.0117, 0.9222, 1.0165, 1.0417, 0.9003, 1.0187, 1.0614, 0.9395]
15;ceu_aberto;52,24;1,9407;[44.73, 278.63, 99.69, 871.51, 240.4, 405.69];[1.398, 3.586, 3.768, 2.461, 2.819, 3.294];[62.51, 999.2, 375.67, 2144.96, 677.62, 1336.52];[1.0005, 0.9344, 0.9467, 0.9847, 0.9695, 0.9907, 1.0028, 1.0265, 0.9965, 1.0243, 1.0032, 0.9012, 0.953, 0.9928, 0.9395, 1.03, 1.0765, 1.0609, 0.9893, 1.0745, 1.0074, 0.9831, 0.9693, 0.9849, 0.9806, 1.0085, 1.008, 1.0002, 1.0218, 1.0595, 1.0475, 0.9258]
16;parcialmente_nublado;26,78;0,995;[212.72, 12.63, 12.48, 2.06, 529.3, 225.82];[2.06, 1.89, 2.049, 3.324, 2.984, 1.556];[438.14, 23.87, 25.57, 6.84, 1579.48, 351.28];[1.0593, 1.0359, 1.0498, 0.9622, 0.9289, 1.0751, 0.9839, 0.9875, 1.0664, 1.0278, 1.0228, 1.1083, 0.9678, 1.0464, 1.0029, 1.0134, 1.0764, 1.0254, 1.0269, 1.0536, 0.9818, 0.958, 0.9478, 0.9017, 1.1028, 0.9448, 0.9889, 0.9862, 1.0154, 1.0408, 1.043, 0.9708]
17;parcialmente_nublado;67,44;2,5055;[343.16, 367.53, 821.61, 2.23, 667.59, 303.42];[3.383, 1.279, 2.765, 2.443, 2.927, 1.195];[1160.76, 470.06, 2271.42, 5.44, 1954.03, 362.45];[1.0771, 1.1003, 1.1031, 1.0604, 1.0512, 1.0296, 1.0389, 0.9724, 0.9591, 0.9998, 0.9915, 0.9773, 1.0348, 1.0478, 1.0044, 1.0739, 0.9429, 0.9903, 0.9642, 0.9067, 0.9959, 0.9939, 1.0757, 1.0315, 0.9488, 1.0927, 1.0611, 1.0291, 0.9887, 0.952, 0.9814, 1.0544]
18;nublado;65,23;2,4232;[258.16, 1480.56, 388.32, 178.05, 50.16, 67.9];[1.676, 1.753, 3.552, 2.684, 2.57, 1.344];[432.67, 2595.28, 1379.25, 477.84, 128.92, 91.28];[1.0214, 1.0347, 1.0088, 0.9816, 0.9586, 1.0043, 0.9464, 0.8539, 1.0218, 1.0452, 0.8819, 0.9495, 1.031, 1.1029, 1.001, 0.9636, 0.9909, 1.0687, 0.9677, 0.96, 0.9759, 0.9523, 1.0061, 1.0812, 1.0162, 0.9874, 0.9854, 0.9218, 1.0442, 0.9961, 0.991, 1.1597]
19;ceu_aberto;48,62;1,8064;[203.99, 527.23, 122.19, 57.12, 372.55, 523.3];[1.302, 1.72, 1.426, 2.044, 2.351, 3.246];[265.58, 906.63, 174.23, 116.75, 875.87, 1698.88];[1.0609, 1.0761, 1.0499, 0.9784, 1.0202, 0.9988, 0.9548, 1.0162, 0.941, 1.0594, 0.9768, 1.0101, 1.0142, 0.9871, 1.0293, 0.9763, 1.0436, 0.9327, 1.0063, 1.0969, 0.95, 0.9661, 1.0257, 1.009, 1.0175, 1.0245, 1.0317, 1.0555, 1.0205, 0.9879, 1.0336, 1.095]
20;ceu_aberto;54,77;2,0346;[422.69, 261.89, 634.17, 166.57, 265.6, 283.69];[2.775, 3.108, 1.712, 2.537, 1.313, 2.154];[1173.01, 813.93, 1085.89, 422.61, 348.65, 610.94];[1.1085, 0.9912, 1.0062, 1.0276, 1.0022, 1.0848, 0.9689, 1.0097, 0.9629, 0.934, 0.9694, 0.9981, 0.9785, 0.9654, 0.9297, 0.9958, 0.9248, 1.038, 1.0041, 0.9271, 0.9845, 0.9624, 1.016, 1.067, 0.9062, 1.0058, 0.992, 1.0336, 1.0107, 0.9624, 0.984, 0.9602]
21;ceu_aberto;42,03;1,5614;[73.29, 311.79, 118.51, 320.92, 346.37, 390.55];[3.75, 2.293, 1.957, 2.747, 2.114, 2.803];[274.85, 714.92, 231.87, 881.44, 732.05, 1094.81];[1.0516, 1.0563, 0.9455, 0.9795, 0.9447, 0.9893, 0.9846, 1.039, 1.0655, 1.0698, 0.9719, 0.9895, 0.9158, 0.9597, 1.0482, 1.0808, 0.9383, 0.9704, 0.9987, 1.014, 0.9595, 1.0212, 0.9763, 0.9993, 1.0273, 1.0003, 0.9782, 0.9945, 0.9956, 0.9815, 0.9871, 1.0799]
22;parcialmente_nublado;89,08;3,3095;[764.54, 404.88, 289.61, 195.48, 1234.48, 420.47];[2.534, 2.477, 2.732, 3.597, 3.942, 2.223];[1937.22, 1002.89, 791.17, 703.1, 4866.57, 934.59];[1.0261, 1.0323, 1.0278, 1.0045, 0.9901, 0.9924, 0.9903, 1.0567, 1.0297, 0.853, 1.0328, 1.0097, 0.9991, 0.9806, 1.0562, 1.0474, 0.9614, 1.0204, 0.9514, 0.931, 0.9687, 1.0431, 1.0477, 1.0257, 1.0363, 1.0258, 0.9679, 1.0216, 1.04, 1.0377, 1.0594, 1.0354]
23;ceu_aberto;30,71;1,1407;[321.12, 18.06, 446.53, 123.56, 0.04, 231.42];[1.141, 1.829, 3.121, 1.188, 3.518, 1.011];[366.25, 33.03, 1393.59, 146.8, 0.15, 234.07];[1.0413, 0.9566, 0.9671, 0.9848, 0.9327, 0.959, 0.9762, 1.0437, 1.0131, 1.0097, 1.0425, 0.9931, 1.0195, 0.9948, 1.0133, 0.9709, 0.8781, 0.9933, 1.0711, 1.0463, 1.0483, 1.0618, 1.0044, 1.0099, 0.9691, 0.9842, 1.0308, 1.0602, 0.993, 0.9775, 1.0, 1.0301]
24;parcialmente_nublado;41,25;1,5323;[7.82, 153.27, 654.94, 322.18, 188.9, 205.21];[1.004, 1.899, 2.939, 3.923, 3.541, 1.071];[7.85, 291.13, 1925.1, 1263.76, 668.93, 219.74];[1.0087, 1.0122, 0.9888, 1.0745, 0.92, 0.9586, 0.9948, 0.9178, 0.9912, 1.0831, 1.001, 1.0115, 0.937, 0.9692, 0.9812, 0.9841, 1.0641, 1.0279, 0.9444, 1.0123, 1.0249, 1.057, 1.079, 0.9492, 0.9595, 0.9371, 0.9883, 1.0233, 1.0494, 0.9962, 0.984, 1.0076]
25;parcialmente_nublado;43,11;1,6016;[81.5, 404.87, 803.18, 7.38, 229.97, 74.67];[2.177, 3.263, 3.755, 3.853, 2.731, 2.071];[177.45, 1321.0, 3016.15, 28.44, 628.13, 154.68];[0.9658, 1.0395, 0.9015, 1.0446, 0.9394, 1.0365, 1.0007, 0.9523, 0.9796, 1.0343, 1.0053, 1.0292, 1.0988, 0.9218, 1.0809, 1.0052, 0.9551, 0.9335, 0.9905, 1.0461, 0.9936, 1.0756, 0.9274, 0.9994, 0.9374, 1.0182, 1.0443, 0.979, 0.8698, 1.0099, 1.0218, 1.0202]
26;ceu_aberto;88,94;3,3039;[154.35, 792.9, 104.67, 204.14, 197.03, 1850.85];[3.57, 3.104, 3.181, 2.686, 3.841, 2.489];[550.96, 2460.78, 332.97, 548.38, 756.86, 4606.34];[0.9454, 0.9806, 1.0348, 1.0425, 0.9853, 0.9964, 0.9241, 0.9821, 1.0445, 1.0288, 1.025, 1.0025, 1.0004, 0.967, 1.0349, 1.021, 1.0246, 0.9737, 0.8923, 1.0549, 0.9761, 0.9569, 1.0347, 0.9804, 1.053, 1.0309, 1.0342, 0.9317, 1.0606, 1.0131, 0.9815, 1.0072]
27;ceu_aberto;68,8;2,5559;[144.09, 121.41, 349.58, 771.98, 1125.91, 42.98];[1.464, 3.834, 3.21, 3.649, 1.608, 2.763];[211.02, 465.51, 1122.0, 2816.93, 1810.35, 118.75];[1.0524, 1.0585, 0.9885, 0.9978, 0.9234, 1.0257, 1.0286, 0.9969, 1.0562, 0.9833, 1.0282, 0.949, 0.9988, 0.9913, 1.0113, 0.9815, 0.9934, 1.0413, 0.9782, 0.9197, 1.0875, 1.0691, 0.9354, 1.0345, 0.9749, 1.0132, 1.0147, 0.9883, 0.9608, 0.9655, 0.9542, 0.9584]
28;parcialmente_nublado;74,81;2,7792;[124.74, 363.85, 395.23, 306.59, 771.33, 817.48];[2.071, 2.061, 3.486, 3.368, 1.923, 3.741];[258.28, 750.04, 1377.65, 1032.56, 1483.57, 3058.48];[0.9937, 1.0164, 1.0043, 0.889, 0.9885, 0.9574, 1.0088, 1.1493, 1.0184, 0.9843, 1.0461, 1.0241, 1.021, 1.0303, 1.1028, 0.9435, 1.0237, 0.9537, 1.0278, 0.9541, 0.9791, 0.9852, 1.0488, 1.0459, 0.9377, 1.0027, 0.9645, 0.9371, 0.9891, 0.9846, 1.1213, 1.0216]
29;ceu_aberto;63,34;2,3531;[1203.41, 24.07, 365.15, 26.9, 164.49, 569.09];[2.3, 3.992, 2.677, 1.963, 1.66, 2.052];[2768.35, 96.07, 977.57, 52.82, 273.11, 1167.52];[0.9688, 0.9908, 0.9698, 0.8897, 1.0449, 1.0637, 1.0326, 0.9431, 0.9899, 0.9997, 1.0299, 1.0334, 0.9633, 1.0041, 1.0229, 1.0728, 1.0352, 1.0395, 1.0042, 1.0705, 1.0205, 0.9569, 1.0702, 1.0349, 0.9778, 0.976, 1.0148, 1.0232, 1.0099, 1.0156, 1.085, 1.0536]
30;ceu_aberto;66,14;2,457;[16.46, 23.58, 1608.92, 93.49, 326.02, 388.49];[3.574, 3.993, 1.724, 1.121, 2.234, 1.39];[58.83, 94.14, 2774.57, 104.81, 728.18, 540.1];[0.998, 0.9933, 1.0167, 1.0716, 1.0541, 0.9344, 1.0311, 1.0664, 1.0193, 1.0545, 1.1006, 1.0512, 1.0125, 1.0523, 1.0072, 1.0012, 0.9824, 1.0782, 0.9591, 1.0766, 1.025, 0.93, 1.0184, 0.895, 1.0313, 1.0443, 0.9704, 1.0062, 1.0977, 0.9747, 0.9471, 1.0741]
31;ceu_aberto;95,04;3,5306;[176.4, 966.07, 146.14, 469.5, 516.73, 1255.8];[1.806, 1.303, 1.502, 1.442, 3.919, 3.278];[318.53, 1258.72, 219.57, 676.93, 2025.17, 4116.37];[0.9969, 1.024, 1.0437, 0.9675, 0.9398, 0.9479, 0.9756, 0.9824, 0.9615, 0.9352, 0.9772, 1.0091, 1.0298, 0.9721, 0.9794, 0.9537, 0.9984, 0.9576, 1.0287, 0.9107, 0.982, 1.0151, 1.0092, 1.1347, 1.0175, 0.9498, 0.9952, 0.9112, 0.996, 0.9583, 1.0458, 0.9725]
32;ceu_aberto;26,96;1,0016;[139.87, 320.61, 273.19, 33.09, 192.02, 42.82];[1.655, 3.622, 1.749, 1.79, 1.002, 3.612];[231.44, 1161.32, 477.82, 59.23, 192.4, 154.67];[1.0267, 1.0614, 0.9681, 1.0229, 0.8956, 0.9708, 0.9984, 0.9545, 0.9532, 0.9666, 1.0146, 0.9906, 0.8881, 0.894, 0.9697, 1.0229, 0.8626, 0.975, 0.9737, 1.0694, 0.9807, 1.0191, 1.0071, 0.8935, 1.0384, 1.0108, 1.0254, 1.1963, 0.8958, 1.0862, 0.9856, 1.0144]
33;nublado;60,12;2,2335;[111.77, 251.26, 427.96, 548.93, 553.23, 340.36];[3.713, 3.452, 3.271, 1.167, 1.021, 1.637];[415.02, 867.4, 1399.91, 640.51, 564.64, 557.29];[0.9526, 1.0874, 1.0466, 0.9882, 1.0568, 0.9447, 0.9588, 0.9696, 0.9736, 0.9472, 1.0612, 0.9871, 1.0176, 0.9715, 0.909, 1.0135, 0.9044, 0.9966, 0.9316, 1.0994, 1.0456, 1.0053, 1.0632, 0.9577, 1.0272, 1.01, 1.0132, 1.0636, 1.0366, 1.0144, 0.9173, 0.952]
34;parcialmente_nublado;72,51;2,6938;[1501.49, 349.77, 531.2, 30.03, 228.98, 52.38];[2.838, 3.815, 2.985, 1.23, 2.064, 2.652];[4261.81, 1334.54, 1585.81, 36.94, 472.61, 138.92];[1.058, 0.9832, 1.0213, 1.0599, 0.9314, 0.9645, 0.9856, 0.9608, 1.0867, 0.9572, 0.9722, 1.0102, 0.9399, 0.9802, 1.0159, 0.9834, 0.9953, 0.9735, 0.9243, 1.0161, 1.0877, 1.0009, 1.0113, 1.0346, 0.9365, 1.0851, 1.0101, 1.0816, 0.9633, 1.0909, 1.0388, 1.0277]
35;nublado;51,43;1,9107;[19.35, 582.52, 7.57, 1030.38, 243.52, 27.35];[2.765, 2.193, 3.921, 2.633, 1.826, 3.128];[53.5, 1277.5, 29.67, 2712.58, 444.6, 85.55];[1.0237, 0.9866, 1.0423, 0.8936, 0.995, 0.9699, 1.0216, 1.0235, 0.9646, 0.9644, 0.9945, 0.9552, 1.0421, 0.9815, 0.8547, 0.9813, 0.9481, 0.9184, 0.9381, 1.0055, 1.0664, 1.0157, 0.9697, 1.0228, 0.977, 0.9653, 0.9423, 0.9124, 0.9805, 1.0079, 0.9952, 0.9792]
36;ceu_aberto;38,67;1,4365;[377.38, 528.44, 94.88, 23.76, 53.96, 358.04];[3.548, 1.135, 3.202, 2.024, 2.436, 3.787];[1339.07, 599.78, 303.84, 48.09, 131.43, 1355.74];[0.9791, 0.8987, 0.9465, 1.0956, 0.936, 1.0095, 1.0504, 0.9373, 1.0092, 1.0469, 1.0006, 1.1434, 0.9166, 1.0529, 0.9914, 1.0386, 1.0221, 0.9633, 1.0114, 0.9071, 1.0302, 1.0149, 1.0319, 1.0529, 1.0184, 1.0074, 0.9559, 0.9644, 1.0593, 1.0718, 0.9881, 1.0023]
37;ceu_aberto;34,93;1,2977;[8.4, 108.05, 188.86, 309.79, 612.11, 70.5];[1.377, 3.89, 1.324, 2.435, 2.757, 2.624];[11.56, 420.36, 250.07, 754.48, 1687.39, 184.99];[1.0098, 0.9548, 0.9226, 1.0129, 1.0552, 1.0238, 0.9999, 0.9705, 0.9454, 1.0417, 1.0457, 0.9227, 1.0795, 1.0287, 1.07, 0.9329, 0.9317, 0.9926, 1.0251, 1.0898, 1.0353, 0.9879, 0.9487, 1.0615, 0.9518, 1.0814, 0.9858, 1.0795, 1.0339, 0.9932, 0.974, 0.983]
38;ceu_aberto;26,41;0,9813;[78.59, 120.65, 214.0, 185.61, 39.36, 343.1];[1.373, 3.625, 3.913, 1.531, 3.166, 1.121];[107.91, 437.39, 837.36, 284.26, 124.62, 384.56];[1.0218, 0.8734, 1.0341, 1.0063, 0.9889, 1.1023, 0.9663, 0.9798, 1.0996, 0.9584, 0.9725, 0.9926, 1.042, 1.0104, 0.9354, 0.9734, 0.9696, 0.9961, 1.0213, 1.0209, 0.9112, 1.0532, 1.0126, 1.0692, 1.0222, 1.0551, 1.0233, 1.0673, 1.0261, 0.9951, 1.1136, 1.0445]
39;ceu_aberto;78,29;2,9086;[361.88, 477.08, 258.28, 97.42, 188.43, 1525.48];[3.033, 2.641, 2.425, 3.767, 1.218, 1.842];[1097.46, 1259.86, 626.39, 367.02, 229.54, 2809.64];[1.059, 0.9686, 1.0023, 1.0026, 0.9749, 0.9314, 1.0161, 0.9969, 1.025, 0.9733, 1.061, 0.9562, 1.0856, 0.9126, 1.0217, 1.0238, 0.9602, 1.0212, 1.064, 0.8892, 1.0251, 0.8753, 0.9517, 1.0815, 0.9709, 0.9413, 0.9901, 1.1034, 0.9084, 0.9474, 1.0749, 1.0929]
40;parcialmente_nublado;67,04;2,4905;[531.14, 912.88, 81.29, 87.77, 180.11, 697.33];[1.642, 1.85, 2.201, 3.436, 1.042, 2.948];[872.12, 1688.68, 178.91, 301.56, 187.6, 2055.83];[1.0534, 1.0302, 1.1152, 0.926, 1.063, 1.0573, 0.9513, 1.0504, 1.0168, 0.9886, 0.9588, 0.964, 1.1025, 1.0, 1.0391, 0.9605, 0.961, 1.0541, 0.9325, 0.9792, 1.0017, 1.0056, 0.991, 1.0198, 1.0346, 1.0367, 0.9507, 0.9858, 1.0597, 1.0447, 0.9314, 1.0176]
41;parcialmente_nublado;40,19;1,4929;[504.75, 45.23, 13.48, 309.11, 157.81, 462.49];[2.15, 1.505, 3.509, 2.647, 1.568, 3.161];[1085.31, 68.07, 47.31, 818.14, 247.37, 1462.02];[1.1243, 1.0132, 1.0638, 0.9924, 1.0267, 1.042, 1.0609, 1.0529, 1.0436, 0.9842, 0.9714, 1.0166, 1.0467, 0.9889, 1.0533, 1.0726, 0.9542, 0.9582, 0.993, 1.0154, 0.9738, 1.0676, 1.0212, 1.002, 0.9282, 0.9342, 1.0141, 0.8934, 1.0506, 0.9921, 1.1622, 1.1154]
42;ceu_aberto;99,37;3,6916;[1702.97, 89.52, 1070.95, 370.55, 6.12, 451.51];[1.704, 3.457, 2.012, 3.483, 1.002, 1.923];[2902.3, 309.45, 2154.74, 1290.47, 6.13, 868.46];[0.9609, 0.962, 0.9114, 1.0236, 0.9084, 0.9386, 0.8962, 0.9957, 0.9925, 0.9837, 0.9479, 0.9414, 1.0232, 0.9725, 1.0158, 0.9557, 1.0091, 1.0652, 1.0293, 0.9794, 1.0129, 0.988, 1.0004, 0.9837, 0.9918, 1.0106, 0.9503, 0.9492, 0.9306, 0.92, 0.9391, 1.008]
43;ceu_aberto;74,71;2,7755;[25.0, 1140.33, 369.89, 55.84, 916.21, 268.2];[2.16, 1.242, 1.441, 1.894, 1.269, 3.732];[54.0, 1415.99, 533.19, 105.75, 1162.93, 1001.06];[0.9996, 0.9892, 0.9814, 0.9636, 1.016, 1.0827, 1.007, 1.0498, 0.9305, 1.0079, 0.9451, 0.9262, 0.963, 1.0596, 1.0475, 1.0122, 0.9234, 0.9902, 1.0151, 1.0088, 0.9078, 0.9555, 0.9968, 1.0268, 0.8902, 0.9919, 1.0072, 1.0425, 1.0346, 1.0291, 0.96, 0.9046]
44;ceu_aberto;47,2;1,7535;[569.48, 25.79, 419.15, 525.7, 56.09, 157.28];[1.496, 3.12, 2.606, 2.906, 1.589, 1.635];[852.23, 80.45, 1092.33, 1527.68, 89.15, 257.19];[0.9954, 0.988, 1.0558, 1.0093, 0.9634, 1.0945, 1.0025, 1.0384, 0.9696, 1.0182, 1.0156, 0.9055, 1.1008, 1.0645, 0.9801, 0.9449, 1.0174, 1.0043, 1.0178, 1.0096, 1.0253, 1.0724, 1.0284, 0.9475, 1.0681, 1.082, 1.1576, 0.9438, 1.0121, 0.8959, 1.0277, 0.9726]
45;parcialmente_nublado;42,55;1,5809;[85.55, 577.87, 12.93, 148.59, 545.25, 210.66];[2.639, 1.749, 2.03, 3.556, 2.678, 2.544];[225.8, 1010.83, 26.25, 528.41, 1460.0, 535.97];[0.9948, 1.0197, 0.9631, 1.0091, 1.023, 1.0097, 0.949, 1.0103, 1.0731, 1.0224, 1.0481, 0.9881, 1.0375, 1.014, 0.9525, 1.0159, 0.9504, 0.9684, 1.0095, 1.0149, 0.9405, 1.0527, 1.0286, 0.9648, 0.9231, 0.9928, 0.9777, 1.0057, 0.9818, 0.8996, 0.9806, 0.9847]
46;nublado;52,86;1,9637;[397.78, 4.18, 666.36, 613.14, 22.17, 260.07];[3.937, 2.262, 2.506, 3.73, 3.152, 2.746];[1566.11, 9.45, 1669.78, 2286.87, 69.89, 714.19];[1.0191, 1.0156, 0.9241, 0.8685, 1.0194, 0.9953, 0.9743, 1.0122, 0.997, 1.0564, 1.0043, 0.9627, 1.0495, 0.9891, 1.0263, 0.9761, 0.9675, 1.0042, 1.0006, 1.024, 0.9866, 0.9082, 0.9784, 1.0397, 0.9851, 0.9877, 1.0493, 0.9644, 0.9229, 0.992, 0.9758, 0.9517]
