id;tipo_dia;unidade;barra;potencia_pv_kw;potencia_bess_kw;razao_bess_h;capacidade_bess_kwh;fator_carga
7;parcialmente_nublado;6;32;1271,55;1271,55;2,6;3306,53;0,9572
8;parcialmente_nublado;1;6;294,84;294,84;1,466;432,15;0,9445
8;parcialmente_nublado;2;10;119,17;119,17;1,546;184,21;1,0876
8;parcialmente_nublado;3;14;146,66;146,66;3,585;525,83;1,0468
8;parcialmente_nublado;4;18;114,7;114,7;3,838;440,24;1,0636
8;parcialmente_nublado;5;25;101,06;101,06;2,12;214,24;1,0361
8;parcialmente_nublado;6;32;161,86;161,86;1,812;293,33;0,9435
9;ceu_aberto;1;6;1630,26;1630,26;2,489;4057,88;0,9983
9;ceu_aberto;2;10;299,12;299,12;2,791;834,71;1,0885
9;ceu_aberto;3;14;39,16;39,16;2,003;78,42;0,9687
9;ceu_aberto;4;18;375,97;375,97;3,313;1245,51;1,0906
9;ceu_aberto;5;25;1117,48;1117,48;1,32;1474,85;1,0354
9;ceu_aberto;6;32;65,26;65,26;1,225;79,97;0,9719
10;ceu_aberto;1;6;191,18;191,18;3,985;761,81;0,9724
10;ceu_aberto;2;10;54,49;54,49;1,522;82,91;1,0316
10;ceu_aberto;3;14;7,53;7,53;2,189;16,49;1,0101
10;ceu_aberto;4;18;439,59;439,59;3,275;1439,52;0,9242
10;ceu_aberto;5;25;272,11;272,11;3,088;840,28;1,0774
10;ceu_aberto;6;32;332,2;332,2;1,462;485,57;1,0898
11;nublado;1;6;20,79;20,79;2,297;47,75;0,9977
11;nublado;2;10;275,91;275,91;3,831;1056,98;1,0122
11;nublado;3;14;257,0;257,0;2,259;580,62;0,9879
11;nublado;4;18;77,18;77,18;2,916;225,04;1,0176
11;nublado;5;25;728,64;728,64;2,193;1597,74;0,9374
11;nublado;6;32;39,6;39,6;1,823;72,18;1,0722
12;parcialmente_nublado;1;6;40,37;40,37;2,038;82,26;1,0842
12;parcialmente_nublado;2;10;84,14;84,14;2,113;177,8;0,9771
12;parcialmente_nublado;3;14;274,62;274,62;3,963;1088,29;1,0539
12;parcialmente_nublado;4;18;175,97;175,97;1,12;197,15;0,9981
12;parcialmente_nublado;5;25;183,92;183,92;3,601;662,3;0,9914
12;parcialmente_nublado;6;32;75,09;75,09;2,736;205,44;1,0442
13;ceu_aberto;1;6;793,94;793,94;1,32;1047,82;1,0161
13;ceu_aberto;2;10;766,07;766,07;2,974;2277,93;1,0211
13;ceu_aberto;3;14;164,9;164,9;3,998;659,3;1,0807
13;ceu_aberto;4;18;730,05;730,05;1,145;835,64;1,0227
13;ceu_aberto;5;25;339,83;339,83;3,932;1336,06;0,9878
13;ceu_aberto;6;32;714,99;714,99;2,221;1587,8;1,0482
14;ceu_aberto;1;6;412,47;412,47;2,872;1184,43;0,9907
14;ceu_aberto;2;10;87,39;87,39;2,355;205,83;0,9935
14;ceu_aberto;3;14;470,37;470,37;2,76;1298,15;1,0022
14;ceu_aberto;4;18;149,91;149,91;1,504;225,48;0,9926
14;ceu_aberto;5;25;299,52;299,52;3,211;961,66;1,0482
14;ceu_aberto;6;32;27,31;27,31;3,588;98,0;1,1105
15;ceu_aberto;1;6;44,73;44,73;1,398;62,51;1,0005
15;ceu_aberto;2;10;278,63;278,63;3,586;999,2;0,9344
15;ceu_aberto;3;14;99,69;99,69;3,768;375,67;0,9467
15;ceu_aberto;4;18;871,51;871,51;2,461;2144,96;0,9847
15;ceu_aberto;5;25;240,4;240,4;2,819;677,62;0,9695
15;ceu_aberto;6;32;405,69;405,69;3,294;1336,52;0,9907
16;parcialmente_nublado;1;6;212,72;212,72;2,06;438,14;1,0593
16;parcialmente_nublado;2;10;12,63;12,63;1,89;23,87;1,0359
16;parcialmente_nublado;3;14;12,48;12,48;2,049;25,57;1,0498
16;parcialmente_nublado;4;18;2,06;2,06;3,324;6,84;0,9622
16;parcialmente_nublado;5;25;529,3;529,3;2,984;1579,48;0,9289
16;parcialmente_nublado;6;32;225,82;225,82;1,556;351,28;1,0751
17;parcialmente_nublado;1;6;343,16;343,16;3,383;1160,76;1,0771
17;parcialmente_nublado;2;10;367,53;367,53;1,279;470,06;1,1003
17;parcialmente_nublado;3;14;821,61;821,61;2,765;2271,42;1,1031
17;parcialmente_nublado;4;18;2,23;2,23;2,443;5,44;1,0604
17;parcialmente_nublado;5;25;667,59;667,59;2,927;1954,03;1,0512
17;parcialmente_nublado;6;32;303,42;303,42;1,195;362,45;1,0296
18;nublado;1;6;258,16;258,16;1,676;432,67;1,0214
18;nublado;2;10;1480,56;1480,56;1,753;2595,28;1,0347
18;nublado;3;14;388,32;388,32;3,552;1379,25;1,0088
18;nublado;4;18;178,05;178,05;2,684;477,84;0,9816
18;nublado;5;25;50,16;50,16;2,57;128,92;0,9586
18;nublado;6;32;67,9;67,9;1,344;91,28;1,0043
19;ceu_aberto;1;6;203,99;203,99;1,302;265,58;1,0609
19;ceu_aberto;2;10;527,23;527,23;1,72;906,63;1,0761
19;ceu_aberto;3;14;122,19;122,19;1,426;174,23;1,0499
19;ceu_aberto;4;18;57,12;57,12;2,044;116,75;0,9784
19;ceu_aberto;5;25;372,55;372,55;2,351;875,87;1,0202
19;ceu_aberto;6;32;523,3;523,3;3,246;1698,88;0,9988
20;ceu_aberto;1;6;422,69;422,69;2,775;1173,01;1,1085
20;ceu_aberto;2;10;261,89;261,89;3,108;813,93;0,9912
20;ceu_aberto;3;14;634,17;634,17;1,712;1085,89;1,0062
20;ceu_aberto;4;18;166,57;166,57;2,537;422,61;1,0276
20;ceu_aberto;5;25;265,6;265,6;1,313;348,65;1,0022
20;ceu_aberto;6;32;283,69;283,69;2,154;610,94;1,0848
21;ceu_aberto;1;6;73,29;73,29;3,75;274,85;1,0516
21;ceu_aberto;2;10;311,79;311,79;2,293;714,92;1,0563
21;ceu_aberto;3;14;118,51;118,51;1,957;231,87;0,9455
21;ceu_aberto;4;18;320,92;320,92;2,747;881,44;0,9795
21;ceu_aberto;5;25;346,37;346,37;2,114;732,05;0,9447
21;ceu_aberto;6;32;390,55;390,55;2,803;1094,81;0,9893
22;parcialmente_nublado;1;6;764,54;764,54;2,534;1937,22;1,0261
22;parcialmente_nublado;2;10;404,88;404,88;2,477;1002,89;1,0323
22;parcialmente_nublado;3;14;289,61;289,61;2,732;791,17;1,0278
22;parcialmente_nublado;4;18;195,48;195,48;3,597;703,1;1,0045
22;parcialmente_nublado;5;25;1234,48;1234,48;3,942;4866,57;0,9901
22;parcialmente_nublado;6;32;420,47;420,47;2,223;934,59;0,9924
23;ceu_aberto;1;6;321,12;321,12;1,141;366,25;1,0413
23;ceu_aberto;2;10;18,06;18,06;1,829;33,03;0,9566
23;ceu_aberto;3;14;446,53;446,53;3,121;1393,59;0,9671
23;ceu_aberto;4;18;123,56;123,56;1,188;146,8;0,9848
23;ceu_aberto;5;25;0,04;0,04;3,518;0,15;0,9327
23;ceu_aberto;6;32;231,42;231,42;1,011;234,07;0,959
24;parcialmente_nublado;1;6;7,82;7,82;1,004;7,85;1,0087
24;parcialmente_nublado;2;10;153,27;153,27;1,899;291,13;1,0122
24;parcialmente_nublado;3;14;654,94;654,94;2,939;1925,1;0,9888
24;parcialmente_nublado;4;18;322,18;322,18;3,923;1263,76;1,0745
24;parcialmente_nublado;5;25;188,9;188,9;3,541;668,93;0,92
24;parcialmente_nublado;6;32;205,21;205,21;1,071;219,74;0,9586
25;parcialmente_nublado;1;6;81,5;81,5;2,177;177,45;0,9658
25;parcialmente_nublado;2;10;404,87;404,87;3,263;1321,0;1,0395
25;parcialmente_nublado;3;14;803,18;803,18;3,755;3016,15;0,9015
25;parcialmente_nublado;4;18;7,38;7,38;3,853;28,44;1,0446
25;parcialmente_nublado;5;25;229,97;229,97;2,731;628,13;0,9394
25;parcialmente_nublado;6;32;74,67;74,67;2,071;154,68;1,0365
26;ceu_aberto;1;6;154,35;154,35;3,57;550,96;0,9454
26;ceu_aberto;2;10;792,9;792,9;3,104;2460,78;0,9806
26;ceu_aberto;3;14;104,67;104,67;3,181;332,97;1,0348
26;ceu_aberto;4;18;204,14;204,14;2,686;548,38;1,0425
26;ceu_aberto;5;25;197,03;197,03;3,841;756,86;0,9853
26;ceu_aberto;6;32;1850,85;1850,85;2,489;4606,34;0,9964
27;ceu_aberto;1;6;144,09;144,09;1,464;211,02;1,0524
27;ceu_aberto;2;10;121,41;121,41;3,834;465,51;1,0585
27;ceu_aberto;3;14;349,58;349,58;3,21;1122,0;0,9885
27;ceu_aberto;4;18;771,98;771,98;3,649;2816,93;0,9978
27;ceu_aberto;5;25;1125,91;1125,91;1,608;1810,35;0,9234
27;ceu_aberto;6;32;42,98;42,98;2,763;118,75;1,0257
28;parcialmente_nublado;1;6;124,74;124,74;2,071;258,28;0,9937
28;parcialmente_nublado;2;10;363,85;363,85;2,061;750,04;1,0164
28;parcialmente_nublado;3;14;395,23;395,23;3,486;1377,65;1,0043
28;parcialmente_nublado;4;18;306,59;306,59;3,368;1032,56;0,889
28;parcialmente_nublado;5;25;771,33;771,33;1,923;1483,57;0,9885
28;parcialmente_nublado;6;32;817,48;817,48;3,741;3058,48;0,9574
29;ceu_aberto;1;6;1203,41;1203,41;2,3;2768,35;0,9688
29;ceu_aberto;2;10;24,07;24,07;3,992;96,07;0,9908
29;ceu_aberto;3;14;365,15;365,15;2,677;977,57;0,9698
29;ceu_aberto;4;18;26,9;26,9;1,963;52,82;0,8897
29;ceu_aberto;5;25;164,49;164,49;1,66;273,11;1,0449
29;ceu_aberto;6;32;569,09;569,09;2,052;1167,52;1,0637
30;ceu_aberto;1;6;16,46;16,46;3,574;58,83;0,998
30;ceu_aberto;2;10;23,58;23,58;3,993;94,14;0,9933
30;ceu_aberto;3;14;1608,92;1608,92;1,724;2774,57;1,0167
30;ceu_aberto;4;18;93,49;93,49;1,121;104,81;1,0716
30;ceu_aberto;5;25;326,02;326,02;2,234;728,18;1,0541
30;ceu_aberto;6;32;388,49;388,49;1,39;540,1;0,9344
31;ceu_aberto;1;6;176,4;176,4;1,806;318,53;0,9969
31;ceu_aberto;2;10;966,07;966,07;1,303;1258,72;1,024
31;ceu_aberto;3;14;146,14;146,14;1,502;219,57;1,0437
31;ceu_aberto;4;18;469,5;469,5;1,442;676,93;0,9675
31;ceu_aberto;5;25;516,73;516,73;3,919;2025,17;0,9398
31;ceu_aberto;6;32;1255,8;1255,8;3,278;4116,37;0,9479
32;ceu_aberto;1;6;139,87;139,87;1,655;231,44;1,0267
32;ceu_aberto;2;10;320,61;320,61;3,622;1161,32;1,0614
32;ceu_aberto;3;14;273,19;273,19;1,749;477,82;0,9681
32;ceu_aberto;4;18;33,09;33,09;1,79;59,23;1,0229
32;ceu_aberto;5;25;192,02;192,02;1,002;192,4;0,8956
32;ceu_aberto;6;32;42,82;42,82;3,612;154,67;0,9708
33;nublado;1;6;111,77;111,77;3,713;415,02;0,9526
33;nublado;2;10;251,26;251,26;3,452;867,4;1,0874
33;nublado;3;14;427,96;427,96;3,271;1399,91;1,0466
33;nublado;4;18;548,93;548,93;1,167;640,51;0,9882
33;nublado;5;25;553,23;553,23;1,021;564,64;1,0568
33;nublado;6;32;340,36;340,36;1,637;557,29;0,9447
34;parcialmente_nublado;1;6;1501,49;1501,49;2,838;4261,81;1,058
34;parcialmente_nublado;2;10;349,77;349,77;3,815;1334,54;0,9832
34;parcialmente_nublado;3;14;531,2;531,2;2,985;1585,81;1,0213
34;parcialmente_nublado;4;18;30,03;30,03;1,23;36,94;1,0599
34;parcialmente_nublado;5;25;228,98;228,98;2,064;472,61;0,9314
34;parcialmente_nublado;6;32;52,38;52,38;2,652;138,92;0,9645
35;nublado;1;6;19,35;19,35;2,765;53,5;1,0237
35;nublado;2;10;582,52;582,52;2,193;1277,5;0,9866
35;nublado;3;14;7,57;7,57;3,921;29,67;1,0423
35;nublado;4;18;1030,38;1030,38;2,633;2712,58;0,8936
35;nublado;5;25;243,52;243,52;1,826;444,6;0,995
35;nublado;6;32;27,35;27,35;3,128;85,55;0,9699
36;ceu_aberto;1;6;377,38;377,38;3,548;1339,07;0,9791
36;ceu_aberto;2;10;528,44;528,44;1,135;599,78;0,8987
36;ceu_aberto;3;14;94,88;94,88;3,202;303,84;0,9465
36;ceu_aberto;4;18;23,76;23,76;2,024;48,09;1,0956
36;ceu_aberto;5;25;53,96;53,96;2,436;131,43;0,936
36;ceu_aberto;6;32;358,04;358,04;3,787;1355,74;1,0095
37;ceu_aberto;1;6;8,4;8,4;1,377;11,56;1,0098
37;ceu_aberto;2;10;108,05;108,05;3,89;420,36;0,9548
37;ceu_aberto;3;14;188,86;188,86;1,324;250,07;0,9226
37;ceu_aberto;4;18;309,79;309,79;2,435;754,48;1,0129
37;ceu_aberto;5;25;612,11;612,11;2,757;1687,39;1,0552
37;ceu_aberto;6;32;70,5;70,5;2,624;184,99;1,0238
38;ceu_aberto;1;6;78,59;78,59;1,373;107,91;1,0218
38;ceu_aberto;2;10;120,65;120,65;3,625;437,39;0,8734
38;ceu_aberto;3;14;214,0;214,0;3,913;837,36;1,0341
38;ceu_aberto;4;18;185,61;185,61;1,531;284,26;1,0063
38;ceu_aberto;5;25;39,36;39,36;3,166;124,62;0,9889
38;ceu_aberto;6;32;343,1;343,1;1,121;384,56;1,1023
39;ceu_aberto;1;6;361,88;361,88;3,033;1097,46;1,059
39;ceu_aberto;2;10;477,08;477,08;2,641;1259,86;0,9686
39;ceu_aberto;3;14;258,28;258,28;2,425;626,39;1,0023
39;ceu_aberto;4;18;97,42;97,42;3,767;367,02;1,0026
39;ceu_aberto;5;25;188,43;188,43;1,218;229,54;0,9749
39;ceu_aberto;6;32;1525,48;1525,48;1,842;2809,64;0,9314
40;parcialmente_nublado;1;6;531,14;531,14;1,642;872,12;1,0534
40;parcialmente_nublado;2;10;912,88;912,88;1,85;1688,68;1,0302
40;parcialmente_nublado;3;14;81,29;81,29;2,201;178,91;1,1152
40;parcialmente_nublado;4;18;87,77;87,77;3,436;301,56;0,926
40;parcialmente_nublado;5;25;180,11;180,11;1,042;187,6;1,063
40;parcialmente_nublado;6;32;697,33;697,33;2,948;2055,83;1,0573
41;parcialmente_nublado;1;6;504,75;504,75;2,15;1085,31;1,1243
41;parcialmente_nublado;2;10;45,23;45,23;1,505;68,07;1,0132
41;parcialmente_nublado;3;14;13,48;13,48;3,509;47,31;1,0638
41;parcialmente_nublado;4;18;309,11;309,11;2,647;818,14;0,9924
41;parcialmente_nublado;5;25;157,81;157,81;1,568;247,37;1,0267
41;parcialmente_nublado;6;32;462,49;462,49;3,161;1462,02;1,042
42;ceu_aberto;1;6;1702,97;1702,97;1,704;2902,3;0,9609
42;ceu_aberto;2;10;89,52;89,52;3,457;309,45;0,962
42;ceu_aberto;3;14;1070,95;1070,95;2,012;2154,74;0,9114
42;ceu_aberto;4;18;370,55;370,55;3,483;1290,47;1,0236
42;ceu_aberto;5;25;6,12;6,12;1,002;6,13;0,9084
42;ceu_aberto;6;32;451,51;451,51;1,923;868,46;0,9386
43;ceu_aberto;1;6;25,0;25,0;2,16;54,0;0,9996
43;ceu_aberto;2;10;1140,33;1140,33;1,242;1415,99;0,9892
43;ceu_aberto;3;14;369,89;369,89;1,441;533,19;0,9814
43;ceu_aberto;4;18;55,84;55,84;1,894;105,75;0,9636
43;ceu_aberto;5;25;916,21;916,21;1,269;1162,93;1,016
43;ceu_aberto;6;32;268,2;268,2;3,732;1001,06;1,0827
44;ceu_aberto;1;6;569,48;569,48;1,496;852,23;0,9954
44;ceu_aberto;2;10;25,79;25,79;3,12;80,45;0,988
44;ceu_aberto;3;14;419,15;419,15;2,606;1092,33;1,0558
44;ceu_aberto;4;18;525,7;525,7;2,906;1527,68;1,0093
44;ceu_aberto;5;25;56,09;56,09;1,589;89,15;0,9634
44;ceu_aberto;6;32;157,28;157,28;1,635;257,19;1,0945
45;parcialmente_nublado;1;6;85,55;85,55;2,639;225,8;0,9948
45;parcialmente_nublado;2;10;577,87;577,87;1,749;1010,83;1,0197
45;parcialmente_nublado;3;14;12,93;12,93;2,03;26,25;0,9631
45;parcialmente_nublado;4;18;148,59;148,59;3,556;528,41;1,0091
45;parcialmente_nublado;5;25;545,25;545,25;2,678;1460,0;1,023
45;parcialmente_nublado;6;32;210,66;210,66;2,544;535,97;1,0097
46;nublado;1;6;397,78;397,78;3,937;1566,11;1,0191
46;nublado;2;10;4,18;4,18;2,262;9,45;1,0156
46;nublado;3;14;666,36;666,36;2,506;1669,78;0,9241
46;nublado;4;18;613,14;613,14;3,73;2286,87;0,8685
46;nublado;5;25;22,17;22,17;3,152;69,89;1,0194
46;nublado;6;32;260,07;260,07;2,746;714,19;0,9953
47;nublado;1;6;406,76;406,76;1,507;613,19;1,0934
47;nublado;2;10;1658,44;1658,44;3,932;6521,61;1,021
47;nublado;3;14;104,37;104,37;3,56;371,57;1,0138
47;nublado;4;18;237,9;237,9;2,495;593,56;1,0004
47;nublado;5;25;234,65;234,65;2,81;659,31;0,9215
47;nublado;6;32;160,19;160,19;1,682;269,41;1,0678
48;nublado;1;6;65,54;65,54;1,204;78,92;0,9795
48;nublado;2;10;71,14;71,14;1,951;138,78;1,0503
48;nublado;3;14;537,93;537,93;1,8;968,49;0,9436
48;nublado;4;18;443,92;443,92;2,518;1117,69;1,0564
48;nublado;5;25;231,04;231,04;3,333;770,09;1,0077
48;nublado;6;32;39,69;39,69;3,575;141,9;0,9832
49;ceu_aberto;1;6;112,35;112,35;3,09;347,17;1,0244
49;ceu_aberto;2;10;1633,61;1633,61;3,176;5188,31;1,0536
49;ceu_aberto;3;14;82,43;82,43;3,509;289,25;0,956
49;ceu_aberto;4;18;88,19;88,19;3,923;345,99;1,0174
49;ceu_aberto;5;25;719,13;719,13;3,927;2823,87;0,9937
49;ceu_aberto;6;32;6,72;6,72;1,196;8,04;1,0423
50;ceu_aberto;1;6;212,39;212,39;3,745;795,31;1,0198
50;ceu_aberto;2;10;44,62;44,62;1,635;72,95;0,9521
50;ceu_aberto;3;14;305,13;305,13;1,433;437,16;0,9705
50;ceu_aberto;4;18;47,39;47,39;3,277;155,3;0,9771
50;ceu_aberto;5;25;65,75;65,75;2,502;164,49;1,0428
50;ceu_aberto;6;32;167,06;167,06;3,735;624,03;1,0839
51;ceu_aberto;1;6;2032,55;2032,55;2,135;4339,38;0,9717
51;ceu_aberto;2;10;109,0;109,0;1,265;137,91;1,0416
51;ceu_aberto;3;14;216,94;216,94;2,027;439,66;1,0105
51;ceu_aberto;4;18;64,34;64,34;3,944;253,75;0,9508
51;ceu_aberto;5;25;193,29;193,29;2,889;558,43;0,9997
51;ceu_aberto;6;32;1031,84;1031,84;2,248;2320,07;1,0392
52;ceu_aberto;1;6;271,48;271,48;3,131;850,08;1,0326
52;ceu_aberto;2;10;689,97;689,97;2,257;1557,11;0,9184
52;ceu_aberto;3;14;114,18;114,18;2,552;291,38;1,024
52;ceu_aberto;4;18;82,43;82,43;1,253;103,26;0,9472
52;ceu_aberto;5;25;239,05;239,05;3,954;945,15;1,0411
52;ceu_aberto;6;32;1197,3;1197,3;2,999;3590,97;0,9519
53;ceu_aberto;1;6;1364,67;1364,67;3,16;4312,35;0,9365
53;ceu_aberto;2;10;73,56;73,56;1,303;95,88;1,0334
53;ceu_aberto;3;14;66,93;66,93;2,869;192,06;1,0336
53;ceu_aberto;4;18;214,49;214,49;2,068;443,6;1,0192
53;ceu_aberto;5;25;1462,19;1462,19;3,367;4922,82;0,9503
53;ceu_aberto;6;32;97,13;97,13;1,701;165,22;1,0125
54;ceu_aberto;1;6;393,35;393,35;2,537;997,85;1,0435
54;ceu_aberto;2;10;281,14;281,14;2,462;692,2;1,0474
54;ceu_aberto;3;14;71,86;71,86;2,875;206,62;1,0065
54;ceu_aberto;4;18;1307,04;1307,04;3,839;5017,15;0,9929
54;ceu_aberto;5;25;957,35;957,35;2,739;2622,49;0,9762
54;ceu_aberto;6;32;115,28;115,28;2,621;302,11;0,9587
55;parcialmente_nublado;1;6;618,94;618,94;3,528;2183,4;1,0294
55;parcialmente_nublado;2;10;83,0;83,0;2,503;207,71;0,9897
55;parcialmente_nublado;3;14;43,91;43,91;3,944;173,19;1,0041
55;parcialmente_nublado;4;18;652,38;652,38;1,292;842,96;0,9636
55;parcialmente_nublado;5;25;58,26;58,26;1,909;111,22;1,0874
55;parcialmente_nublado;6;32;1258,41;1258,41;2,915;3667,85;1,052
56;ceu_aberto;1;6;1085,68;1085,68;2,366;2569,14;0,9382
56;ceu_aberto;2;10;419,06;419,06;2,746;1150,93;1,0627
56;ceu_aberto;3;14;25,11;25,11;2,07;51,99;1,0366
56;ceu_aberto;4;18;234,61;234,61;1,493;350,23;1,0269
56;ceu_aberto;5;25;102,84;102,84;2,511;258,24;1,0358
56;ceu_aberto;6;32;237,48;237,48;3,491;828,96;1,1197
57;nublado;1;6;239,06;239,06;1,585;378,8;0,9209
57;nublado;2;10;43,18;43,18;2,474;106,83;1,0408
57;nublado;3;14;285,7;285,7;3,852;1100,39;0,931
57;nublado;4;18;209,65;209,65;2,151;450,92;0,9782
57;nublado;5;25;310,11;310,11;2,273;704,91;0,9871
57;nublado;6;32;3,21;3,21;3,144;10,1;0,9965
58;parcialmente_nublado;1;6;406,46;406,46;1,387;563,84;1,0145
58;parcialmente_nublado;2;10;483,68;483,68;2,611;1262,69;0,9746
58;parcialmente_nublado;3;14;242,96;242,96;3,81;925,6;0,9743
58;parcialmente_nublado;4;18;877,27;877,27;1,925;1688,79;0,9401
58;parcialmente_nublado;5;25;394,94;394,94;3,609;1425,17;1,0892
58;parcialmente_nublado;6;32;66,18;66,18;3,292;217,89;1,0007
59;parcialmente_nublado;1;6;1652,0;1652,0;3,317;5479,34;0,9672
59;parcialmente_nublado;2;10;455,51;455,51;1,227;558,71;0,987
59;parcialmente_nublado;3;14;79,48;79,48;3,483;276,82;0,9245
59;parcialmente_nublado;4;18;489,08;489,08;2,283;1116,58;0,989
59;parcialmente_nublado;5;25;222,79;222,79;2,788;621,18;0,9903
59;parcialmente_nublado;6;32;292,31;292,31;1,269;370,93;1,027
60;ceu_aberto;1;6;242,19;242,19;1,058;256,29;0,9054
60;ceu_aberto;2;10;19,73;19,73;1,981;39,08;1,0156
60;ceu_aberto;3;14;68,16;68,16;2,884;196,56;0,9406
60;ceu_aberto;4;18;710,5;710,5;1,826;1297,07;0,9801
60;ceu_aberto;5;25;633,55;633,55;3,729;2362,35;1,0267
60;ceu_aberto;6;32;402,86;402,86;2,902;1168,96;1,0046
61;parcialmente_nublado;1;6;463,73;463,73;3,528;1635,87;0,9936
61;parcialmente_nublado;2;10;312,27;312,27;2,087;651,58;0,9674
61;parcialmente_nublado;3;14;1880,1;1880,1;2,981;5605,35;0,8903
61;parcialmente_nublado;4;18;628,72;628,72;2,412;1516,75;1,08
61;parcialmente_nublado;5;25;216,63;216,63;1,597;345,91;1,0352
61;parcialmente_nublado;6;32;82,73;82,73;2,805;232,06;1,0267
62;nublado;1;6;137,18;137,18;2,007;275,3;1,0593
62;nublado;2;10;39,49;39,49;3,295;130,12;1,077
62;nublado;3;14;167,08;167,08;2,298;384,0;0,9723
62;nublado;4;18;198,65;198,65;2,453;487,2;0,9873
62;nublado;5;25;159,3;159,3;2,944;469,03;0,9623
62;nublado;6;32;262,5;262,5;1,055;276,96;1,0191
63;ceu_aberto;1;6;696,84;696,84;2,515;1752,42;0,9524
63;ceu_aberto;2;10;370,91;370,91;1,529;567,21;0,9829
63;ceu_aberto;3;14;540,96;540,96;3,438;1859,93;0,9497
63;ceu_aberto;4;18;721,03;721,03;2,625;1892,92;1,0024
63;ceu_aberto;5;25;636,97;636,97;1,393;887,45;0,9718
63;ceu_aberto;6;32;517,13;517,13;3,298;1705,74;0,9253
64;parcialmente_nublado;1;6;25,88;25,88;2,447;63,33;1,0154
64;parcialmente_nublado;2;10;686,93;686,93;3,109;2135,4;0,9349
64;parcialmente_nublado;3;14;377,52;377,52;1,204;454,55;1,0226
64;parcialmente_nublado;4;18;1920,35;1920,35;1,581;3036,78;0,9822
64;parcialmente_nublado;5;25;182,31;182,31;1,644;299,66;1,0015
64;parcialmente_nublado;6;32;490,35;490,35;3,214;1576,22;1,0349
65;ceu_aberto;1;6;504,84;504,84;1,069;539,75;0,9682
65;ceu_aberto;2;10;507,68;507,68;3,69;1873,45;1,0104
65;ceu_aberto;3;14;156,19;156,19;1,632;254,92;1,018
65;ceu_aberto;4;18;285,52;285,52;1,683;480,41;0,9545
65;ceu_aberto;5;25;99,59;99,59;1,839;183,12;1,0636
65;ceu_aberto;6;32;109,41;109,41;1,382;151,23;0,951
66;parcialmente_nublado;1;6;137,87;137,87;1,5;206,87;0,9938
66;parcialmente_nublado;2;10;133,01;133,01;1,14;151,64;1,0301
