hour,der,der_type,q_voltvar_kvar
7,bess_barra860,BESS,0.0
7,bess_barra840,BESS,0.0
7,bess_barra844,BESS,0.0
7,bess_barra848,BESS,-0.0005
7,bess_barra890,BESS,0.0
7,pv_barra860,PV,0.0
7,pv_barra840,PV,0.0
7,pv_barra844,PV,0.0
7,pv_barra848,PV,-0.0
7,pv_barra890,PV,0.0
8,bess_barra860,BESS,-0.017
8,bess_barra840,BESS,-0.02
8,bess_barra844,BESS,-0.0188
8,bess_barra848,BESS,-0.0232
8,bess_barra890,BESS,0.0523
8,pv_barra860,PV,-1.508
8,pv_barra840,PV,-1.3562
8,pv_barra844,PV,-1.6558
8,pv_barra848,PV,-2.239
8,pv_barra890,PV,5.1926
9,bess_barra860,BESS,-0.0628
9,bess_barra840,BESS,-0.0728
9,bess_barra844,BESS,-0.0652
9,bess_barra848,BESS,-0.0688
9,bess_barra890,BESS,0.254
9,pv_barra860,PV,-6.596
9,pv_barra840,PV,-5.8425
9,pv_barra844,PV,-6.7805
9,pv_barra848,PV,-7.8452
9,pv_barra890,PV,29.7777
10,bess_barra860,BESS,-0.0469
10,bess_barra840,BESS,-0.0558
10,bess_barra844,BESS,-0.0482
10,bess_barra848,BESS,-0.0539
10,bess_barra890,BESS,0.3543
10,pv_barra860,PV,-8.7637
10,pv_barra840,PV,-7.9639
10,pv_barra844,PV,-8.9119
10,pv_barra848,PV,-10.9426
10,pv_barra890,PV,73.8968
11,bess_barra860,BESS,-4.6248
11,bess_barra840,BESS,-5.3142
11,bess_barra844,BESS,-4.6715
11,bess_barra848,BESS,-5.043
11,bess_barra890,BESS,33.8393
11,pv_barra860,PV,-10.8028
11,pv_barra840,PV,-9.487
11,pv_barra844,PV,-10.8071
11,pv_barra848,PV,-12.7991
11,pv_barra890,PV,92.4021
12,bess_barra860,BESS,-2.629
12,bess_barra840,BESS,-3.0323
12,bess_barra844,BESS,-2.6861
12,bess_barra848,BESS,-3.1314
12,bess_barra890,BESS,33.2567
12,pv_barra860,PV,-5.5309
12,pv_barra840,PV,-4.876
12,pv_barra844,PV,-5.5973
12,pv_barra848,PV,-7.1585
12,pv_barra890,PV,81.8617
13,bess_barra860,BESS,-0.1165
13,bess_barra840,BESS,-13.4535
13,bess_barra844,BESS,-11.9658
13,bess_barra848,BESS,-0.1272
13,bess_barra890,BESS,27.1459
13,pv_barra860,PV,-25.291
13,pv_barra840,PV,-22.5478
13,pv_barra844,PV,-25.9883
13,pv_barra848,PV,-30.0045
13,pv_barra890,PV,68.714
14,bess_barra860,BESS,-0.1017
14,bess_barra840,BESS,-0.1203
14,bess_barra844,BESS,-0.1071
14,bess_barra848,BESS,-0.1134
14,bess_barra890,BESS,12.1689
14,pv_barra860,PV,-16.5953
14,pv_barra840,PV,-14.9966
14,pv_barra844,PV,-17.2976
14,pv_barra848,PV,-20.102
14,pv_barra890,PV,22.3004
15,bess_barra860,BESS,-0.0253
15,bess_barra840,BESS,-0.03
15,bess_barra844,BESS,-0.027
15,bess_barra848,BESS,-0.0318
15,bess_barra890,BESS,20.9336
15,pv_barra860,PV,-3.1524
15,pv_barra840,PV,-2.8592
15,pv_barra844,PV,-3.3276
15,pv_barra848,PV,-4.3116
15,pv_barra890,PV,29.4493
16,bess_barra860,BESS,0.0
16,bess_barra840,BESS,0.0
16,bess_barra844,BESS,0.0
16,bess_barra848,BESS,0.0
16,bess_barra890,BESS,0.0253
16,pv_barra860,PV,0.0
16,pv_barra840,PV,0.0
16,pv_barra844,PV,0.0
16,pv_barra848,PV,0.0
16,pv_barra890,PV,2.5296
17,bess_barra860,BESS,0.0
17,bess_barra840,BESS,0.0
17,bess_barra844,BESS,0.0
17,bess_barra848,BESS,0.0
17,bess_barra890,BESS,0.0261
17,pv_barra860,PV,0.0
17,pv_barra840,PV,0.0
17,pv_barra844,PV,0.0
17,pv_barra848,PV,0.0
17,pv_barra890,PV,0.0
18,bess_barra860,BESS,-0.0282
18,bess_barra840,BESS,-0.0324
18,bess_barra844,BESS,-0.0311
18,bess_barra848,BESS,-0.034
18,bess_barra890,BESS,0.0
18,pv_barra860,PV,-0.0
18,pv_barra840,PV,-0.0
18,pv_barra844,PV,-0.0
18,pv_barra848,PV,-0.0
18,pv_barra890,PV,0.0
19,bess_barra860,BESS,-4.6402
19,bess_barra840,BESS,-5.5283
19,bess_barra844,BESS,-4.9855
19,bess_barra848,BESS,-5.4059
19,bess_barra890,BESS,0.0
19,pv_barra860,PV,-0.0
19,pv_barra840,PV,-0.0
19,pv_barra844,PV,-0.0
19,pv_barra848,PV,-0.0
19,pv_barra890,PV,0.0
20,bess_barra860,BESS,-3.5818
20,bess_barra840,BESS,-4.2755
20,bess_barra844,BESS,-3.8796
20,bess_barra848,BESS,-4.2771
20,bess_barra890,BESS,0.0
20,pv_barra860,PV,-0.0
20,pv_barra840,PV,-0.0
20,pv_barra844,PV,-0.0
20,pv_barra848,PV,-0.0
20,pv_barra890,PV,0.0
21,bess_barra860,BESS,-3.5818
21,bess_barra840,BESS,-4.2755
21,bess_barra844,BESS,-3.8796
21,bess_barra848,BESS,-4.2771
21,bess_barra890,BESS,0.0
21,pv_barra860,PV,-0.0
21,pv_barra840,PV,-0.0
21,pv_barra844,PV,-0.0
21,pv_barra848,PV,-0.0
21,pv_barra890,PV,0.0
22,bess_barra860,BESS,-0.0004
22,bess_barra840,BESS,0.0
22,bess_barra844,BESS,-0.0021
22,bess_barra848,BESS,-0.0042
22,bess_barra890,BESS,0.0
22,pv_barra860,PV,-0.0
22,pv_barra840,PV,0.0
22,pv_barra844,PV,-0.0
22,pv_barra848,PV,-0.0
22,pv_barra890,PV,0.0
23,bess_barra860,BESS,-0.0186
23,bess_barra840,BESS,-0.0214
23,bess_barra844,BESS,-0.0211
23,bess_barra848,BESS,-0.0239
23,bess_barra890,BESS,0.0
23,pv_barra860,PV,-0.0
23,pv_barra840,PV,-0.0
23,pv_barra844,PV,-0.0
23,pv_barra848,PV,-0.0
23,pv_barra890,PV,0.0
24,bess_barra860,BESS,-0.013
24,bess_barra840,BESS,-0.015
24,bess_barra844,BESS,-0.0153
24,bess_barra848,BESS,-0.0183
24,bess_barra890,BESS,0.0
24,pv_barra860,PV,-0.0
24,pv_barra840,PV,-0.0
24,pv_barra844,PV,-0.0
24,pv_barra848,PV,-0.0
24,pv_barra890,PV,0.0
