Hora,Elemento,De,Para,Fases,I_F1 (A),P_total (kW),Q_total (kVAR),S_total (kVA)
3,l2,802,806,3,51.82,2016.07,268.2,2033.83
3,l3,806,808,3,51.83,1986.29,253.37,2002.39
3,l4,808,810,1,0.6,8.24,3.22,8.85
3,l5,808,812,3,52.0,1928.33,239.81,1943.18
3,l6,812,814,3,52.19,1880.65,231.77,1894.88
3,l7,814R,850,3,48.12,1842.48,223.62,1856.0
3,l8,816,818,1,12.91,173.93,78.78,190.94
3,l9,816,824,3,35.61,1665.45,143.78,1671.64
3,l10,818,820,1,11.56,155.83,70.02,170.84
3,l11,820,822,1,5.21,67.7,32.82,75.24
3,l12,824,826,1,1.54,20.21,9.59,22.37
3,l13,824,828,3,35.65,1606.34,122.3,1610.99
3,l14,828,830,3,35.4,1599.74,119.85,1604.23
3,l15,830,854,3,34.0,1525.02,99.51,1528.26
3,l16,832,858,3,21.06,1013.07,-151.64,1024.35
3,l17,834,860,3,8.46,318.2,181.63,366.39
3,l18,834,842,3,14.91,574.33,-386.09,692.04
3,l19,836,840,3,1.12,48.79,31.53,58.09
3,l20,836,862,3,0.01,28.0,12.9,30.83
3,l21,842,844,3,14.78,569.76,-388.42,689.56
3,l22,844,846,3,9.97,105.88,-417.73,430.94
3,l23,846,848,3,9.9,71.55,-432.16,438.05
3,l24,850,816,3,48.12,1842.46,223.62,1855.98
3,l25,852R,832,3,31.56,1475.44,103.06,1479.04
3,l26,854,856,1,0.24,2.0,-2.8,3.44
3,l27,854,852,3,34.0,1520.38,101.35,1523.76
3,l28,858,864,1,0.07,1.0,0.21,1.02
3,l29,858,834,3,20.63,989.89,-159.65,1002.69
3,l30,860,836,3,2.8,138.59,74.33,157.26
3,l31,862,838,1,1.03,14.0,6.11,15.28
3,l32,888,890,3,69.97,450.02,232.78,506.66
4,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
4,l1,800,802,3,51.8,2047.06,283.26,2066.56
4,l2,802,806,3,51.82,2016.07,268.2,2033.83
4,l3,806,808,3,51.83,1986.29,253.37,2002.39
4,l4,808,810,1,0.6,8.24,3.22,8.85
4,l5,808,812,3,52.0,1928.33,239.81,1943.18
4,l6,812,814,3,52.19,1880.65,231.77,1894.88
4,l7,814R,850,3,48.12,1842.48,223.62,1856.0
4,l8,816,818,1,12.91,173.93,78.78,190.94
4,l9,816,824,3,35.61,1665.45,143.78,1671.64
4,l10,818,820,1,11.56,155.83,70.02,170.84
4,l11,820,822,1,5.21,67.7,32.82,75.24
4,l12,824,826,1,1.54,20.21,9.59,22.37
4,l13,824,828,3,35.65,1606.34,122.3,1610.99
4,l14,828,830,3,35.4,1599.74,119.85,1604.23
4,l15,830,854,3,34.0,1525.02,99.51,1528.26
4,l16,832,858,3,21.06,1013.07,-151.64,1024.35
4,l17,834,860,3,8.46,318.2,181.63,366.39
4,l18,834,842,3,14.91,574.33,-386.09,692.04
4,l19,836,840,3,1.12,48.79,31.53,58.09
4,l20,836,862,3,0.01,28.0,12.9,30.83
4,l21,842,844,3,14.78,569.76,-388.42,689.56
4,l22,844,846,3,9.97,105.88,-417.73,430.94
4,l23,846,848,3,9.9,71.55,-432.16,438.05
4,l24,850,816,3,48.12,1842.46,223.62,1855.98
4,l25,852R,832,3,31.56,1475.44,103.06,1479.04
4,l26,854,856,1,0.24,2.0,-2.8,3.44
4,l27,854,852,3,34.0,1520.38,101.35,1523.76
4,l28,858,864,1,0.07,1.0,0.21,1.02
4,l29,858,834,3,20.63,989.89,-159.65,1002.69
4,l30,860,836,3,2.8,138.59,74.33,157.26
4,l31,862,838,1,1.03,14.0,6.11,15.28
4,l32,888,890,3,69.97,450.02,232.78,506.66
5,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
5,l1,800,802,3,51.8,2047.06,283.26,2066.56
5,l2,802,806,3,51.82,2016.07,268.2,2033.83
5,l3,806,808,3,51.83,1986.29,253.37,2002.39
5,l4,808,810,1,0.6,8.24,3.22,8.85
5,l5,808,812,3,52.0,1928.33,239.81,1943.18
5,l6,812,814,3,52.19,1880.65,231.77,1894.88
5,l7,814R,850,3,48.12,1842.48,223.62,1856.0
5,l8,816,818,1,12.91,173.93,78.78,190.94
5,l9,816,824,3,35.61,1665.45,143.78,1671.64
5,l10,818,820,1,11.56,155.83,70.02,170.84
5,l11,820,822,1,5.21,67.7,32.82,75.24
5,l12,824,826,1,1.54,20.21,9.59,22.37
5,l13,824,828,3,35.65,1606.34,122.3,1610.99
5,l14,828,830,3,35.4,1599.74,119.85,1604.23
5,l15,830,854,3,34.0,1525.02,99.51,1528.26
5,l16,832,858,3,21.06,1013.07,-151.64,1024.35
5,l17,834,860,3,8.46,318.2,181.63,366.39
5,l18,834,842,3,14.91,574.33,-386.09,692.04
5,l19,836,840,3,1.12,48.79,31.53,58.09
5,l20,836,862,3,0.01,28.0,12.9,30.83
5,l21,842,844,3,14.78,569.76,-388.42,689.56
5,l22,844,846,3,9.97,105.88,-417.73,430.94
5,l23,846,848,3,9.9,71.55,-432.16,438.05
5,l24,850,816,3,48.12,1842.46,223.62,1855.98
5,l25,852R,832,3,31.56,1475.44,103.06,1479.04
5,l26,854,856,1,0.24,2.0,-2.8,3.44
5,l27,854,852,3,34.0,1520.38,101.35,1523.76
5,l28,858,864,1,0.07,1.0,0.21,1.02
5,l29,858,834,3,20.63,989.89,-159.65,1002.69
5,l30,860,836,3,2.8,138.59,74.33,157.26
5,l31,862,838,1,1.03,14.0,6.11,15.28
5,l32,888,890,3,69.97,450.02,232.78,506.66
6,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
6,l1,800,802,3,51.8,2047.06,283.26,2066.56
6,l2,802,806,3,51.82,2016.07,268.2,2033.83
6,l3,806,808,3,51.83,1986.29,253.37,2002.39
6,l4,808,810,1,0.6,8.24,3.22,8.85
6,l5,808,812,3,52.0,1928.33,239.81,1943.18
6,l6,812,814,3,52.19,1880.65,231.77,1894.88
6,l7,814R,850,3,48.12,1842.48,223.62,1856.0
6,l8,816,818,1,12.91,173.93,78.78,190.94
6,l9,816,824,3,35.61,1665.45,143.78,1671.64
6,l10,818,820,1,11.56,155.83,70.02,170.84
6,l11,820,822,1,5.21,67.7,32.82,75.24
6,l12,824,826,1,1.54,20.21,9.59,22.37
6,l13,824,828,3,35.65,1606.34,122.3,1610.99
6,l14,828,830,3,35.4,1599.74,119.85,1604.23
6,l15,830,854,3,34.0,1525.02,99.51,1528.26
6,l16,832,858,3,21.06,1013.07,-151.64,1024.35
6,l17,834,860,3,8.46,318.2,181.63,366.39
6,l18,834,842,3,14.91,574.33,-386.09,692.04
6,l19,836,840,3,1.12,48.79,31.53,58.09
6,l20,836,862,3,0.01,28.0,12.9,30.83
6,l21,842,844,3,14.78,569.76,-388.42,689.56
6,l22,844,846,3,9.97,105.88,-417.73,430.94
6,l23,846,848,3,9.9,71.55,-432.16,438.05
6,l24,850,816,3,48.12,1842.46,223.62,1855.98
6,l25,852R,832,3,31.56,1475.44,103.06,1479.04
6,l26,854,856,1,0.24,2.0,-2.8,3.44
6,l27,854,852,3,34.0,1520.38,101.35,1523.76
6,l28,858,864,1,0.07,1.0,0.21,1.02
6,l29,858,834,3,20.63,989.89,-159.65,1002.69
6,l30,860,836,3,2.8,138.59,74.33,157.26
6,l31,862,838,1,1.03,14.0,6.11,15.28
6,l32,888,890,3,69.97,450.02,232.78,506.66
7,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
7,l1,800,802,3,51.8,2047.06,283.26,2066.56
7,l2,802,806,3,51.82,2016.07,268.2,2033.83
7,l3,806,808,3,51.83,1986.29,253.37,2002.39
7,l4,808,810,1,0.6,8.24,3.22,8.85
7,l5,808,812,3,52.0,1928.33,239.81,1943.18
7,l6,812,814,3,52.19,1880.65,231.77,1894.88
7,l7,814R,850,3,48.12,1842.48,223.62,1856.0
7,l8,816,818,1,12.91,173.93,78.78,190.94
7,l9,816,824,3,35.61,1665.45,143.78,1671.64
7,l10,818,820,1,11.56,155.83,70.02,170.84
7,l11,820,822,1,5.21,67.7,32.82,75.24
7,l12,824,826,1,1.54,20.21,9.59,22.37
7,l13,824,828,3,35.65,1606.34,122.3,1610.99
7,l14,828,830,3,35.4,1599.74,119.85,1604.23
7,l15,830,854,3,34.0,1525.02,99.51,1528.26
7,l16,832,858,3,21.06,1013.07,-151.64,1024.35
7,l17,834,860,3,8.46,318.2,181.63,366.39
7,l18,834,842,3,14.91,574.33,-386.09,692.04
7,l19,836,840,3,1.12,48.79,31.53,58.09
7,l20,836,862,3,0.01,28.0,12.9,30.83
7,l21,842,844,3,14.78,569.76,-388.42,689.56
7,l22,844,846,3,9.97,105.88,-417.73,430.94
7,l23,846,848,3,9.9,71.55,-432.16,438.05
7,l24,850,816,3,48.12,1842.46,223.62,1855.98
7,l25,852R,832,3,31.56,1475.44,103.06,1479.04
7,l26,854,856,1,0.24,2.0,-2.8,3.44
7,l27,854,852,3,34.0,1520.38,101.35,1523.76
7,l28,858,864,1,0.07,1.0,0.21,1.02
7,l29,858,834,3,20.63,989.89,-159.65,1002.69
7,l30,860,836,3,2.8,138.59,74.33,157.26
7,l31,862,838,1,1.03,14.0,6.11,15.28
7,l32,888,890,3,69.97,450.02,232.78,506.66
8,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
8,l1,800,802,3,51.8,2047.06,283.26,2066.56
8,l2,802,806,3,51.82,2016.07,268.2,2033.83
8,l3,806,808,3,51.83,1986.29,253.37,2002.39
8,l4,808,810,1,0.6,8.24,3.22,8.85
8,l5,808,812,3,52.0,1928.33,239.81,1943.18
8,l6,812,814,3,52.19,1880.65,231.77,1894.88
8,l7,814R,850,3,48.12,1842.48,223.62,1856.0
8,l8,816,818,1,12.91,173.93,78.78,190.94
8,l9,816,824,3,35.61,1665.45,143.78,1671.64
8,l10,818,820,1,11.56,155.83,70.02,170.84
8,l11,820,822,1,5.21,67.7,32.82,75.24
8,l12,824,826,1,1.54,20.21,9.59,22.37
8,l13,824,828,3,35.65,1606.34,122.3,1610.99
8,l14,828,830,3,35.4,1599.74,119.85,1604.23
8,l15,830,854,3,34.0,1525.02,99.51,1528.26
8,l16,832,858,3,21.06,1013.07,-151.64,1024.35
8,l17,834,860,3,8.46,318.2,181.63,366.39
8,l18,834,842,3,14.91,574.33,-386.09,692.04
8,l19,836,840,3,1.12,48.79,31.53,58.09
8,l20,836,862,3,0.01,28.0,12.9,30.83
8,l21,842,844,3,14.78,569.76,-388.42,689.56
8,l22,844,846,3,9.97,105.88,-417.73,430.94
8,l23,846,848,3,9.9,71.55,-432.16,438.05
8,l24,850,816,3,48.12,1842.46,223.62,1855.98
8,l25,852R,832,3,31.56,1475.44,103.06,1479.04
8,l26,854,856,1,0.24,2.0,-2.8,3.44
8,l27,854,852,3,34.0,1520.38,101.35,1523.76
8,l28,858,864,1,0.07,1.0,0.21,1.02
8,l29,858,834,3,20.63,989.89,-159.65,1002.69
8,l30,860,836,3,2.8,138.59,74.33,157.26
8,l31,862,838,1,1.03,14.0,6.11,15.28
8,l32,888,890,3,69.97,450.02,232.78,506.66
9,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
9,l1,800,802,3,51.8,2047.06,283.26,2066.56
9,l2,802,806,3,51.82,2016.07,268.2,2033.83
9,l3,806,808,3,51.83,1986.29,253.37,2002.39
9,l4,808,810,1,0.6,8.24,3.22,8.85
9,l5,808,812,3,52.0,1928.33,239.81,1943.18
9,l6,812,814,3,52.19,1880.65,231.77,1894.88
9,l7,814R,850,3,48.12,1842.48,223.62,1856.0
9,l8,816,818,1,12.91,173.93,78.78,190.94
9,l9,816,824,3,35.61,1665.45,143.78,1671.64
9,l10,818,820,1,11.56,155.83,70.02,170.84
9,l11,820,822,1,5.21,67.7,32.82,75.24
9,l12,824,826,1,1.54,20.21,9.59,22.37
9,l13,824,828,3,35.65,1606.34,122.3,1610.99
9,l14,828,830,3,35.4,1599.74,119.85,1604.23
9,l15,830,854,3,34.0,1525.02,99.51,1528.26
9,l16,832,858,3,21.06,1013.07,-151.64,1024.35
9,l17,834,860,3,8.46,318.2,181.63,366.39
9,l18,834,842,3,14.91,574.33,-386.09,692.04
9,l19,836,840,3,1.12,48.79,31.53,58.09
9,l20,836,862,3,0.01,28.0,12.9,30.83
9,l21,842,844,3,14.78,569.76,-388.42,689.56
9,l22,844,846,3,9.97,105.88,-417.73,430.94
9,l23,846,848,3,9.9,71.55,-432.16,438.05
9,l24,850,816,3,48.12,1842.46,223.62,1855.98
9,l25,852R,832,3,31.56,1475.44,103.06,1479.04
9,l26,854,856,1,0.24,2.0,-2.8,3.44
9,l27,854,852,3,34.0,1520.38,101.35,1523.76
9,l28,858,864,1,0.07,1.0,0.21,1.02
9,l29,858,834,3,20.63,989.89,-159.65,1002.69
9,l30,860,836,3,2.8,138.59,74.33,157.26
9,l31,862,838,1,1.03,14.0,6.11,15.28
9,l32,888,890,3,69.97,450.02,232.78,506.66
10,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
10,l1,800,802,3,51.8,2047.06,283.26,2066.56
10,l2,802,806,3,51.82,2016.07,268.2,2033.83
10,l3,806,808,3,51.83,1986.29,253.37,2002.39
10,l4,808,810,1,0.6,8.24,3.22,8.85
10,l5,808,812,3,52.0,1928.33,239.81,1943.18
10,l6,812,814,3,52.19,1880.65,231.77,1894.88
10,l7,814R,850,3,48.12,1842.48,223.62,1856.0
10,l8,816,818,1,12.91,173.93,78.78,190.94
10,l9,816,824,3,35.61,1665.45,143.78,1671.64
10,l10,818,820,1,11.56,155.83,70.02,170.84
10,l11,820,822,1,5.21,67.7,32.82,75.24
10,l12,824,826,1,1.54,20.21,9.59,22.37
10,l13,824,828,3,35.65,1606.34,122.3,1610.99
10,l14,828,830,3,35.4,1599.74,119.85,1604.23
10,l15,830,854,3,34.0,1525.02,99.51,1528.26
10,l16,832,858,3,21.06,1013.07,-151.64,1024.35
10,l17,834,860,3,8.46,318.2,181.63,366.39
10,l18,834,842,3,14.91,574.33,-386.09,692.04
10,l19,836,840,3,1.12,48.79,31.53,58.09
10,l20,836,862,3,0.01,28.0,12.9,30.83
10,l21,842,844,3,14.78,569.76,-388.42,689.56
10,l22,844,846,3,9.97,105.88,-417.73,430.94
10,l23,846,848,3,9.9,71.55,-432.16,438.05
10,l24,850,816,3,48.12,1842.46,223.62,1855.98
10,l25,852R,832,3,31.56,1475.44,103.06,1479.04
10,l26,854,856,1,0.24,2.0,-2.8,3.44
10,l27,854,852,3,34.0,1520.38,101.35,1523.76
10,l28,858,864,1,0.07,1.0,0.21,1.02
10,l29,858,834,3,20.63,989.89,-159.65,1002.69
10,l30,860,836,3,2.8,138.59,74.33,157.26
10,l31,862,838,1,1.03,14.0,6.11,15.28
10,l32,888,890,3,69.97,450.02,232.78,506.66
11,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
11,l1,800,802,3,51.8,2047.06,283.26,2066.56
11,l2,802,806,3,51.82,2016.07,268.2,2033.83
11,l3,806,808,3,51.83,1986.29,253.37,2002.39
11,l4,808,810,1,0.6,8.24,3.22,8.85
11,l5,808,812,3,52.0,1928.33,239.81,1943.18
11,l6,812,814,3,52.19,1880.65,231.77,1894.88
11,l7,814R,850,3,48.12,1842.48,223.62,1856.0
11,l8,816,818,1,12.91,173.93,78.78,190.94
11,l9,816,824,3,35.61,1665.45,143.78,1671.64
11,l10,818,820,1,11.56,155.83,70.02,170.84
11,l11,820,822,1,5.21,67.7,32.82,75.24
11,l12,824,826,1,1.54,20.21,9.59,22.37
11,l13,824,828,3,35.65,1606.34,122.3,1610.99
11,l14,828,830,3,35.4,1599.74,119.85,1604.23
11,l15,830,854,3,34.0,1525.02,99.51,1528.26
11,l16,832,858,3,21.06,1013.07,-151.64,1024.35
11,l17,834,860,3,8.46,318.2,181.63,366.39
11,l18,834,842,3,14.91,574.33,-386.09,692.04
11,l19,836,840,3,1.12,48.79,31.53,58.09
11,l20,836,862,3,0.01,28.0,12.9,30.83
11,l21,842,844,3,14.78,569.76,-388.42,689.56
11,l22,844,846,3,9.97,105.88,-417.73,430.94
11,l23,846,848,3,9.9,71.55,-432.16,438.05
11,l24,850,816,3,48.12,1842.46,223.62,1855.98
11,l25,852R,832,3,31.56,1475.44,103.06,1479.04
11,l26,854,856,1,0.24,2.0,-2.8,3.44
11,l27,854,852,3,34.0,1520.38,101.35,1523.76
11,l28,858,864,1,0.07,1.0,0.21,1.02
11,l29,858,834,3,20.63,989.89,-159.65,1002.69
11,l30,860,836,3,2.8,138.59,74.33,157.26
11,l31,862,838,1,1.03,14.0,6.11,15.28
11,l32,888,890,3,69.97,450.02,232.78,506.66
12,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
12,l1,800,802,3,51.8,2047.06,283.26,2066.56
12,l2,802,806,3,51.82,2016.07,268.2,2033.83
12,l3,806,808,3,51.83,1986.29,253.37,2002.39
12,l4,808,810,1,0.6,8.24,3.22,8.85
12,l5,808,812,3,52.0,1928.33,239.81,1943.18
12,l6,812,814,3,52.19,1880.65,231.77,1894.88
12,l7,814R,850,3,48.12,1842.48,223.62,1856.0
12,l8,816,818,1,12.91,173.93,78.78,190.94
12,l9,816,824,3,35.61,1665.45,143.78,1671.64
12,l10,818,820,1,11.56,155.83,70.02,170.84
12,l11,820,822,1,5.21,67.7,32.82,75.24
12,l12,824,826,1,1.54,20.21,9.59,22.37
12,l13,824,828,3,35.65,1606.34,122.3,1610.99
12,l14,828,830,3,35.4,1599.74,119.85,1604.23
12,l15,830,854,3,34.0,1525.02,99.51,1528.26
12,l16,832,858,3,21.06,1013.07,-151.64,1024.35
12,l17,834,860,3,8.46,318.2,181.63,366.39
12,l18,834,842,3,14.91,574.33,-386.09,692.04
12,l19,836,840,3,1.12,48.79,31.53,58.09
12,l20,836,862,3,0.01,28.0,12.9,30.83
12,l21,842,844,3,14.78,569.76,-388.42,689.56
12,l22,844,846,3,9.97,105.88,-417.73,430.94
12,l23,846,848,3,9.9,71.55,-432.16,438.05
12,l24,850,816,3,48.12,1842.46,223.62,1855.98
12,l25,852R,832,3,31.56,1475.44,103.06,1479.04
12,l26,854,856,1,0.24,2.0,-2.8,3.44
12,l27,854,852,3,34.0,1520.38,101.35,1523.76
12,l28,858,864,1,0.07,1.0,0.21,1.02
12,l29,858,834,3,20.63,989.89,-159.65,1002.69
12,l30,860,836,3,2.8,138.59,74.33,157.26
12,l31,862,838,1,1.03,14.0,6.11,15.28
12,l32,888,890,3,69.97,450.02,232.78,506.66
13,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
13,l1,800,802,3,51.8,2047.06,283.26,2066.56
13,l2,802,806,3,51.82,2016.07,268.2,2033.83
13,l3,806,808,3,51.83,1986.29,253.37,2002.39
13,l4,808,810,1,0.6,8.24,3.22,8.85
13,l5,808,812,3,52.0,1928.33,239.81,1943.18
13,l6,812,814,3,52.19,1880.65,231.77,1894.88
13,l7,814R,850,3,48.12,1842.48,223.62,1856.0
13,l8,816,818,1,12.91,173.93,78.78,190.94
13,l9,816,824,3,35.61,1665.45,143.78,1671.64
13,l10,818,820,1,11.56,155.83,70.02,170.84
13,l11,820,822,1,5.21,67.7,32.82,75.24
13,l12,824,826,1,1.54,20.21,9.59,22.37
13,l13,824,828,3,35.65,1606.34,122.3,1610.99
13,l14,828,830,3,35.4,1599.74,119.85,1604.23
13,l15,830,854,3,34.0,1525.02,99.51,1528.26
13,l16,832,858,3,21.06,1013.07,-151.64,1024.35
13,l17,834,860,3,8.46,318.2,181.63,366.39
13,l18,834,842,3,14.91,574.33,-386.09,692.04
13,l19,836,840,3,1.12,48.79,31.53,58.09
13,l20,836,862,3,0.01,28.0,12.9,30.83
13,l21,842,844,3,14.78,569.76,-388.42,689.56
13,l22,844,846,3,9.97,105.88,-417.73,430.94
13,l23,846,848,3,9.9,71.55,-432.16,438.05
13,l24,850,816,3,48.12,1842.46,223.62,1855.98
13,l25,852R,832,3,31.56,1475.44,103.06,1479.04
13,l26,854,856,1,0.24,2.0,-2.8,3.44
13,l27,854,852,3,34.0,1520.38,101.35,1523.76
13,l28,858,864,1,0.07,1.0,0.21,1.02
13,l29,858,834,3,20.63,989.89,-159.65,1002.69
13,l30,860,836,3,2.8,138.59,74.33,157.26
13,l31,862,838,1,1.03,14.0,6.11,15.28
13,l32,888,890,3,69.97,450.02,232.78,506.66
14,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
14,l1,800,802,3,51.8,2047.06,283.26,2066.56
14,l2,802,806,3,51.82,2016.07,268.2,2033.83
14,l3,806,808,3,51.83,1986.29,253.37,2002.39
14,l4,808,810,1,0.6,8.24,3.22,8.85
14,l5,808,812,3,52.0,1928.33,239.81,1943.18
14,l6,812,814,3,52.19,1880.65,231.77,1894.88
14,l7,814R,850,3,48.12,1842.48,223.62,1856.0
14,l8,816,818,1,12.91,173.93,78.78,190.94
14,l9,816,824,3,35.61,1665.45,143.78,1671.64
14,l10,818,820,1,11.56,155.83,70.02,170.84
14,l11,820,822,1,5.21,67.7,32.82,75.24
14,l12,824,826,1,1.54,20.21,9.59,22.37
14,l13,824,828,3,35.65,1606.34,122.3,1610.99
14,l14,828,830,3,35.4,1599.74,119.85,1604.23
14,l15,830,854,3,34.0,1525.02,99.51,1528.26
14,l16,832,858,3,21.06,1013.07,-151.64,1024.35
14,l17,834,860,3,8.46,318.2,181.63,366.39
14,l18,834,842,3,14.91,574.33,-386.09,692.04
14,l19,836,840,3,1.12,48.79,31.53,58.09
14,l20,836,862,3,0.01,28.0,12.9,30.83
14,l21,842,844,3,14.78,569.76,-388.42,689.56
14,l22,844,846,3,9.97,105.88,-417.73,430.94
14,l23,846,848,3,9.9,71.55,-432.16,438.05
14,l24,850,816,3,48.12,1842.46,223.62,1855.98
14,l25,852R,832,3,31.56,1475.44,103.06,1479.04
14,l26,854,856,1,0.24,2.0,-2.8,3.44
14,l27,854,852,3,34.0,1520.38,101.35,1523.76
14,l28,858,864,1,0.07,1.0,0.21,1.02
14,l29,858,834,3,20.63,989.89,-159.65,1002.69
14,l30,860,836,3,2.8,138.59,74.33,157.26
14,l31,862,838,1,1.03,14.0,6.11,15.28
14,l32,888,890,3,69.97,450.02,232.78,506.66
15,source,SOURCEBUS,SOURCEBUS,3,16.92,-2047.06,-283.29,2066.57
15,l1,800,802,3,51.8,2047.06,283.26,2066.56
15,l2,802,806,3,51.82,2016.07,268.2,2033.83
15,l3,806,808,3,51.83,1986.29,253.37,2002.39
15,l4,808,810,1,0.6,8.24,3.22,8.85
15,l5,808,812,3,52.0,1928.33,239.81,1943.18
15,l6,812,814,3,52.19,1880.65,231.77,1894.88
15,l7,814R,850,3,48.12,1842.48,223.62,1856.0
15,l8,816,818,1,12.91,173.93,78.78,190.94
15,l9,816,824,3,35.61,1665.45,143.78,1671.64
15,l10,818,820,1,11.56,155.83,70.02,170.84
15,l11,820,822,1,5.21,67.7,32.82,75.24
15,l12,824,826,1,1.54,20.21,9.59,22.37
15,l13,824,828,3,35.65,1606.34,122.3,1610.99
15,l14,828,830,3,35.4,1599.74,119.85,1604.23
15,l15,830,854,3,34.0,1525.02,99.51,1528.26
15,l16,832,858,3,21.06,1013.07,-151.64,1024.35
15,l17,834,860,3,8.46,318.2,181.63,366.39
15,l18,834,842,3,14.91,574.33,-386.09,692.04
15,l19,836,840,3,1.12,48.79,31.53,58.09
15,l20,836,862,3,0.01,28.0,12.9,30.83
15,l21,842,844,3,14.78,569.76,-388.42,689.56
